"SECURITIES","ERROR CODE","NUM FLDS","PX_LAST","PX_ASK","PX_BID"
"AUDJPYVON BGN Curncy",0,3,9.535  ,11.935 ,7.135  ,
"AUDJPY25RON BGN Curncy",0,3,-0.935  ,0.745  ,-2.615  ,
"AUDJPY25BON BGN Curncy",0,3,0.25  ,1.45  ,-0.95  ,
"AUDJPYV1W BGN Curncy",0,3,11.475  ,12.35  ,10.6  ,
"AUDJPY25R1W BGN Curncy",0,3,-1.052 ,-0.44  ,-1.665  ,
"AUDJPY25B1W BGN Curncy",0,3,0.342  ,0.64  ,0.01  ,
