Security,,External ID,Ccy Pair,P/L USD,Premium USD,Value USD,Style,P/C Ccy,P/C,Strike,Barrier1,Barrier2,Premium,Prem Ccy,P/L Ccy1,Option Price % Ccy1,Prem CCY1,Value Ccy1,Theo. Value Ccy1,Option Price % Ccy2,Prem CCY2,Value Ccy2,Theo. Value Ccy2,Creation Date,Creation Time,Trade Date,Trade Time,Prem Date,Expiry Date,Cut,Delivery Date,Model,Spot,Volatility,Depo Ccy1,Depo Ccy2,BB#,mini
Clear Filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total USD Equivs,,,,"12,835",,"12,835",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDJPY - 81.064,,,AUDJPY,985,,985,,,,,,,,,936,,,936,866,,,"75,885","70,221",,,,,,,,,,,,,,,
Double NT,,9718,AUDJPY,0,0,0,Double NT,,,,81.724,80.404,0,JPY,0,,0,0,0,0.02,0,0,0,01/25/2012,9:53,01/23/2012,9:53,01/23/2012,02/09/2012,GMT 15:00,02/09/2012,Vanna Volga,81.064,11.37,4.535,0.126,OPSK9LY4,1
Double NT,,9303,AUDJPY,0,0,0,Double NT,,,,83.694,80.571,0,JPY,0,,0,0,0,15.08,0,15,13,01/25/2012,9:52,01/23/2012,9:52,01/23/2012,02/06/2012,GMT 15:00,02/06/2012,Vanna Volga,81.064,10.6,4.519,0.123,OPSK9L97,1
Double NT,,9504,AUDJPY,1,0,1,Double NT,,,,84.032,79.684,0,JPY,1,,0,1,1,51.17,0,51,49,01/25/2012,9:52,01/23/2012,9:52,01/23/2012,02/06/2012,GMT 15:00,02/06/2012,Vanna Volga,81.064,10.6,4.519,0.123,OPSK9LKC,1
Double NT,,9105,AUDJPY,1,0,1,Double NT,,,,83.654,77.619,0,JPY,1,,0,1,1,88.61,0,89,90,01/25/2012,9:52,01/23/2012,9:52,01/23/2012,02/02/2012,GMT 15:00,02/02/2012,Vanna Volga,81.064,11.07,4.484,0.119,OPSK9L7G,0
Double NT,,9107,AUDJPY,0,0,0,Double NT,,,,82.426,80.76,0,JPY,0,,0,0,0,2.3,0,2,1,01/25/2012,9:52,01/23/2012,9:52,01/23/2012,02/02/2012,GMT 15:00,02/02/2012,Vanna Volga,81.064,11.07,4.484,0.119,OPSK9L7Z,0
Double NT,,9117,AUDJPY,0,0,0,Double NT,,,,81.532,80.76,0,JPY,0,,0,0,0,0,0,0,0,01/25/2012,9:52,01/23/2012,9:52,01/23/2012,02/02/2012,GMT 15:00,02/02/2012,Vanna Volga,81.064,11.07,4.484,0.119,OPSK9LBB,0
Double NT,,9113,AUDJPY,0,0,0,Double NT,,,,81.733,80.557,0,JPY,0,,0,0,0,0.2,0,0,0,01/25/2012,9:52,01/23/2012,9:52,01/23/2012,02/02/2012,GMT 15:00,02/02/2012,Vanna Volga,81.064,11.07,4.484,0.119,OPSK9L9G,0
Double NT,,9118,AUDJPY,0,0,0,Double NT,,,,81.532,80.557,0,JPY,0,,0,0,0,0.01,0,0,0,01/25/2012,9:52,01/23/2012,9:52,01/23/2012,02/02/2012,GMT 15:00,02/02/2012,Vanna Volga,81.064,11.07,4.484,0.119,OPSK9LBK,0
Double NT,,9104,AUDJPY,1,0,1,Double NT,,,,83.654,79.834,0,JPY,1,,0,1,1,51.51,0,52,50,01/25/2012,9:52,01/23/2012,9:52,01/23/2012,02/02/2012,GMT 15:00,02/02/2012,Vanna Volga,81.064,11.07,4.484,0.119,OPSK9L75,0
Double NT,,9302,AUDJPY,0,0,0,Double NT,,,,83.694,80.776,0,JPY,0,,0,0,0,7.93,0,8,7,01/25/2012,9:52,01/23/2012,9:52,01/23/2012,02/06/2012,GMT 15:00,02/06/2012,Vanna Volga,81.064,10.6,4.519,0.123,OPSK9L91,1
