Security,,External ID,Ccy Pair,P/L USD,Premium USD,Value USD,Style,P/C Ccy,P/C,Strike,Barrier1,Barrier2,Premium,Prem Ccy,P/L Ccy1,Option Price % Ccy1,Prem CCY1,Value Ccy1,Theo. Value Ccy1,Option Price % Ccy2,Prem CCY2,Value Ccy2,Theo. Value Ccy2,Creation Date,Creation Time,Trade Date,Trade Time,Prem Date,Expiry Date,Cut,Delivery Date,Model,Spot,Volatility,Depo Ccy1,Depo Ccy2,BB#,mini
Clear Filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total USD Equivs,,,,"56,498",,"56,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDJPY - 81.064,,,AUDJPY,"6,034",,"6,034",,,,,,,,,"5,734",,,"5,734","5,805",,,"464,801","470,582",,,,,,,,,,,,,,,
Digital,,2026,AUDJPY,1,0,1,Digital,AUD,P,82.46071,,,0,JPY,1,,0,1,1,95.57,0,96,96,01/25/2012,8:21,01/23/2012,8:21,01/23/2012,01/26/2012,GMT 15:00,01/26/2012,Vanna Volga,81.064,11.23,4.467,0.118,OPSK9BXH,1
Digital,,2027,AUDJPY,1,0,1,Digital,AUD,P,81.78988,,,0,JPY,1,,0,1,1,82.68,0,83,82,01/25/2012,8:21,01/23/2012,8:21,01/23/2012,01/26/2012,GMT 15:00,01/26/2012,Vanna Volga,81.064,11.23,4.467,0.118,OPSK9BXK,1
Digital,,2028,AUDJPY,1,0,1,Digital,AUD,P,81.41017,,,0,JPY,1,,0,1,1,68.05,0,68,68,01/25/2012,8:21,01/23/2012,8:21,01/23/2012,01/26/2012,GMT 15:00,01/26/2012,Vanna Volga,81.064,11.23,4.467,0.118,OPSK9BXM,1
Digital,,2029,AUDJPY,1,0,1,Digital,AUD,P,81.30039,,,0,JPY,1,,0,1,1,62.92,0,63,63,01/25/2012,8:21,01/23/2012,8:21,01/23/2012,01/26/2012,GMT 15:00,01/26/2012,Vanna Volga,81.064,11.23,4.467,0.118,OPSK9BXP,1
Digital,,2030,AUDJPY,1,0,1,Digital,AUD,P,81.0895,,,0,JPY,1,,0,1,1,52.43,0,52,53,01/25/2012,8:21,01/23/2012,8:21,01/23/2012,01/26/2012,GMT 15:00,01/26/2012,Vanna Volga,81.064,11.23,4.467,0.118,OPSK9BXS,1
Digital,,2031,AUDJPY,1,0,1,Digital,AUD,P,80.98471,,,0,JPY,1,,0,1,1,47.11,0,47,48,01/25/2012,8:21,01/23/2012,8:21,01/23/2012,01/26/2012,GMT 15:00,01/26/2012,Vanna Volga,81.064,11.23,4.467,0.118,OPSK9BXV,1
Digital,,2032,AUDJPY,1,0,1,Digital,AUD,P,80.87802,,,0,JPY,1,,0,1,1,41.76,0,42,43,01/25/2012,8:21,01/23/2012,8:21,01/23/2012,01/26/2012,GMT 15:00,01/26/2012,Vanna Volga,81.064,11.23,4.467,0.118,OPSK9BXX,1
Digital,,2033,AUDJPY,0,0,0,Digital,AUD,P,80.76739,,,0,JPY,0,,0,0,0,36.39,0,36,37,01/25/2012,8:21,01/23/2012,8:21,01/23/2012,01/26/2012,GMT 15:00,01/26/2012,Vanna Volga,81.064,11.23,4.467,0.118,OPSK9BXZ,1
Digital,,2034,AUDJPY,0,0,0,Digital,AUD,P,80.37924,,,0,JPY,0,,0,0,0,20.43,0,20,21,01/25/2012,8:21,01/23/2012,8:21,01/23/2012,01/26/2012,GMT 15:00,01/26/2012,Vanna Volga,81.064,11.23,4.467,0.118,OPSK9BY1,1
Digital,,2116,AUDJPY,1,0,1,Digital,AUD,P,82.48908,,,0,JPY,1,,0,1,1,93.07,0,93,93,01/25/2012,8:22,01/23/2012,8:22,01/23/2012,01/27/2012,GMT 15:00,01/27/2012,Vanna Volga,81.064,11.69,4.623,0.118,OPSK9C5Z,1
Digital,,2117,AUDJPY,1,0,1,Digital,AUD,P,81.809,,,0,JPY,1,,0,1,1,79.34,0,79,79,01/25/2012,8:22,01/23/2012,8:22,01/23/2012,01/27/2012,GMT 15:00,01/27/2012,Vanna Volga,81.064,11.69,4.623,0.118,OPSK9C62,1
Digital,,2118,AUDJPY,1,0,1,Digital,AUD,P,81.42407,,,0,JPY,1,,0,1,1,66.17,0,66,66,01/25/2012,8:22,01/23/2012,8:22,01/23/2012,01/27/2012,GMT 15:00,01/27/2012,Vanna Volga,81.064,11.69,4.623,0.118,OPSK9C66,1
Digital,,2119,AUDJPY,1,0,1,Digital,AUD,P,81.31278,,,0,JPY,1,,0,1,1,61.76,0,62,62,01/25/2012,8:22,01/23/2012,8:22,01/23/2012,01/27/2012,GMT 15:00,01/27/2012,Vanna Volga,81.064,11.69,4.623,0.118,OPSK9C69,1
Digital,,2120,AUDJPY,1,0,1,Digital,AUD,P,81.09899,,,0,JPY,1,,0,1,1,52.87,0,53,53,01/25/2012,8:22,01/23/2012,8:22,01/23/2012,01/27/2012,GMT 15:00,01/27/2012,Vanna Volga,81.064,11.69,4.623,0.118,OPSK9C6D,1
Digital,,2121,AUDJPY,1,0,1,Digital,AUD,P,80.99276,,,0,JPY,1,,0,1,1,48.37,0,48,49,01/25/2012,8:22,01/23/2012,8:22,01/23/2012,01/27/2012,GMT 15:00,01/27/2012,Vanna Volga,81.064,11.69,4.623,0.118,OPSK9C6H,1
Digital,,2122,AUDJPY,1,0,1,Digital,AUD,P,80.88459,,,0,JPY,1,,0,1,1,43.82,0,44,45,01/25/2012,8:22,01/23/2012,8:22,01/23/2012,01/27/2012,GMT 15:00,01/27/2012,Vanna Volga,81.064,11.69,4.623,0.118,OPSK9C6L,1
Digital,,2123,AUDJPY,1,0,1,Digital,AUD,P,80.77243,,,0,JPY,0,,0,0,0,39.2,0,39,40,01/25/2012,8:22,01/23/2012,8:22,01/23/2012,01/27/2012,GMT 15:00,01/27/2012,Vanna Volga,81.064,11.69,4.623,0.118,OPSK9C6P,1
Digital,,2124,AUDJPY,0,0,0,Digital,AUD,P,80.37882,,,0,JPY,0,,0,0,0,24.73,0,25,26,01/25/2012,8:22,01/23/2012,8:22,01/23/2012,01/27/2012,GMT 15:00,01/27/2012,Vanna Volga,81.064,11.69,4.623,0.118,OPSK9C6T,1
Digital,,2210,AUDJPY,1,0,1,Digital,AUD,P,81.10848,,,0,JPY,1,,0,1,1,53.76,0,54,54,01/25/2012,8:21,01/23/2012,8:21,01/23/2012,01/30/2012,GMT 15:00,01/30/2012,Vanna Volga,81.064,10.25,4.469,0.118,OPSK9BY0,1
Digital,,2161,AUDJPY,95,0,95,Digital,AUD,P,82.51722,,,0,AUD,91,90.6,0,91,90,,0,"7,345","7,320",01/25/2012,8:22,01/23/2012,8:22,01/23/2012,01/30/2012,GMT 15:00,01/30/2012,Vanna Volga,81.064,10.25,4.469,0.118,OPSK9CBP,1
Digital,,2296,AUDJPY,1,0,1,Digital,AUD,P,82.80467,,,0,JPY,1,,0,1,1,94.17,0,94,94,01/25/2012,8:22,01/23/2012,8:22,01/23/2012,01/30/2012,GMT 15:00,01/30/2012,Vanna Volga,81.064,10.25,4.469,0.118,OPSK9C61,1
