Security,,External ID,Ccy Pair,P/L USD,Premium USD,Value USD,Style,P/C Ccy,P/C,Strike,Barrier1,Barrier2,Premium,Prem Ccy,P/L Ccy1,Option Price % Ccy1,Prem CCY1,Value Ccy1,Theo. Value Ccy1,Option Price % Ccy2,Prem CCY2,Value Ccy2,Theo. Value Ccy2,Creation Date,Creation Time,Trade Date,Trade Time,Prem Date,Expiry Date,Cut,Delivery Date,Model,Spot,Volatility,Depo Ccy1,Depo Ccy2,BB#,mini
Clear Filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total USD Equivs,,,,"55,410",,"55,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDJPY - 81.064,,,AUDJPY,"6,035",,"6,035",,,,,,,,,"5,735",,,"5,735","5,884",,,"464,866","476,992",,,,,,,,,,,,,,,
One touch,,3646,AUDJPY,0,0,0,One touch,,,,81.847,,0,JPY,0,,0,0,0,4.58,0,5,9,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/24/2012,GMT 15:00,01/24/2012,Vanna Volga,81.064,11,8.719,0.118,OPSK9DG0,1
One touch,,3647,AUDJPY,1,0,1,One touch,,,,81.469,,0,JPY,1,,0,1,0,43.78,0,44,37,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/24/2012,GMT 15:00,01/24/2012,Vanna Volga,81.064,11,8.719,0.118,OPSK9DG4,1
One touch,,3648,AUDJPY,1,0,1,One touch,,,,81.254,,0,JPY,1,,0,1,1,72.73,0,73,67,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/24/2012,GMT 15:00,01/24/2012,Vanna Volga,81.064,11,8.719,0.118,OPSK9DGJ,1
One touch,,3649,AUDJPY,1,0,1,One touch,,,,81.192,,0,JPY,1,,0,1,1,81.35,0,81,77,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/24/2012,GMT 15:00,01/24/2012,Vanna Volga,81.064,11,8.719,0.118,OPSK9DGN,1
One touch,,3651,AUDJPY,1,0,1,One touch,,,,81.014,,0,JPY,1,,0,1,1,92.9,0,93,92,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/24/2012,GMT 15:00,01/24/2012,Vanna Volga,81.064,11,8.719,0.118,OPSK9DGS,1
One touch,,3652,AUDJPY,1,0,1,One touch,,,,80.954,,0,JPY,1,,0,1,1,84.53,0,85,82,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/24/2012,GMT 15:00,01/24/2012,Vanna Volga,81.064,11,8.719,0.118,OPSK9DGY,1
One touch,,3653,AUDJPY,1,0,1,One touch,,,,80.892,,0,JPY,1,,0,1,1,76.12,0,76,72,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/24/2012,GMT 15:00,01/24/2012,Vanna Volga,81.064,11,8.719,0.118,OPSK9DH2,1
