Security,,External ID,Ccy Pair,P/L USD,Premium USD,Value USD,Style,P/C Ccy,P/C,Strike,Barrier1,Barrier2,Premium,Prem Ccy,P/L Ccy1,Option Price % Ccy1,Prem CCY1,Value Ccy1,Theo. Value Ccy1,Option Price % Ccy2,Prem CCY2,Value Ccy2,Theo. Value Ccy2,Creation Date,Creation Time,Trade Date,Trade Time,Prem Date,Expiry Date,Cut,Delivery Date,Model,Spot,Volatility,Depo Ccy1,Depo Ccy2,BB#,mini
Clear Filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total USD Equivs,,,,"42,342",,"42,342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDJPY - 81.064,,,AUDJPY,"4,047",,"4,047",,,,,,,,,"3,845",,,"3,845","3,904",,,"311,712","316,444",,,,,,,,,,,,,,,
One touch,,5001,AUDJPY,1,0,1,One touch,,,,80.982,,0,JPY,1,,0,1,1,98.13,0,98,98,01/25/2012,8:49,01/23/2012,8:49,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,81.064,11.53,4.56,0.148,OPSK9FQC,0
One touch,,5002,AUDJPY,1,0,1,One touch,,,,80.562,,0,JPY,1,,0,1,1,88.22,0,88,89,01/25/2012,8:49,01/23/2012,8:49,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,81.064,11.53,4.56,0.148,OPSK9FQL,0
One touch,,5003,AUDJPY,1,0,1,One touch,,,,80.121,,0,JPY,1,,0,1,1,77.59,0,78,80,01/25/2012,8:49,01/23/2012,8:49,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,81.064,11.53,4.56,0.148,OPSK9FQQ,0
One touch,,5004,AUDJPY,1,0,1,One touch,,,,78.491,,0,JPY,1,,0,1,1,42.68,0,43,46,01/25/2012,8:49,01/23/2012,8:49,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,81.064,11.53,4.56,0.148,OPSK9FQV,0
One touch,,5086,AUDJPY,0,0,0,One touch,,,,87.78,,0,JPY,0,,0,0,0,1.29,0,1,5,01/25/2012,8:49,01/23/2012,8:49,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,81.064,11.81,4.54,0.152,OPSK9FZ7,0
One touch,,5087,AUDJPY,0,0,0,One touch,,,,84.673,,0,JPY,0,,0,0,0,24.96,0,25,27,01/25/2012,8:49,01/23/2012,8:49,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,81.064,11.81,4.54,0.152,OPSK9FZB,0
One touch,,5088,AUDJPY,1,0,1,One touch,,,,82.937,,0,JPY,1,,0,1,1,56.83,0,57,55,01/25/2012,8:49,01/23/2012,8:49,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,81.064,11.81,4.54,0.152,OPSK9FZD,0
