Security,,External ID,Ccy Pair,P/L USD,Premium USD,Value USD,Style,P/C Ccy,P/C,Strike,Barrier1,Barrier2,Premium,Prem Ccy,P/L Ccy1,Option Price % Ccy1,Prem CCY1,Value Ccy1,Theo. Value Ccy1,Option Price % Ccy2,Prem CCY2,Value Ccy2,Theo. Value Ccy2,Creation Date,Creation Time,Trade Date,Trade Time,Prem Date,Expiry Date,Cut,Delivery Date,Model,Spot,Volatility,Depo Ccy1,Depo Ccy2,BB#,mini
Clear Filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total USD Equivs,,,,"85,625",,"85,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDJPY - 81.064,,,AUDJPY,"8,966",,"8,966",,,,,,,,,"8,520",,,"8,520","8,645",,,"690,684","700,765",,,,,,,,,,,,,,,
Double OT,,13019,AUDJPY,101,0,101,Double OT,,,,81.532,79.834,0,AUD,96,96,0,96,98,,0,"7,782","7,916",01/25/2012,10:19,01/23/2012,10:19,01/23/2012,02/02/2012,GMT 15:00,02/02/2012,Vanna Volga,81.064,11.07,4.484,0.119,OPSK9PP5,0
Double OT,,13014,AUDJPY,97,0,97,Double OT,,,,81.733,79.834,0,AUD,92,91.71,0,92,94,,0,"7,434","7,642",01/25/2012,10:19,01/23/2012,10:19,01/23/2012,02/02/2012,GMT 15:00,02/02/2012,Vanna Volga,81.064,11.07,4.484,0.119,OPSK9PN5,0
Double OT,,13106,AUDJPY,1,0,1,Double OT,,,,82.426,80.955,0,JPY,1,,0,1,1,99.6,0,100,100,01/25/2012,10:20,01/23/2012,10:20,01/23/2012,02/02/2012,GMT 15:00,02/02/2012,Vanna Volga,81.064,11.07,4.484,0.119,OPSK9Q65,0
Double OT,,13904,AUDJPY,1,0,1,Double OT,,,,84.963,79.26,0,JPY,1,,0,1,1,47.15,0,47,51,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/13/2012,GMT 15:00,02/13/2012,Vanna Volga,81.064,11.21,4.551,0.13,OPSK9R2T,0
Double OT,,13116,AUDJPY,1,0,1,Double OT,,,,81.532,80.955,0,JPY,1,,0,1,1,100,0,100,100,01/25/2012,10:20,01/23/2012,10:20,01/23/2012,02/02/2012,GMT 15:00,02/02/2012,Vanna Volga,81.064,11.07,4.484,0.119,OPSK9Q7H,0
Double OT,,13719,AUDJPY,1,0,1,Double OT,,,,81.724,79.413,0,JPY,1,,0,1,1,93.86,0,94,97,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/09/2012,GMT 15:00,02/09/2012,Vanna Volga,81.064,11.37,4.535,0.126,OPSK9QWB,0
Double OT,,13203,AUDJPY,89,0,89,Double OT,,,,83.694,80.571,0,AUD,85,84.68,0,85,86,,0,"6,864","7,009",01/25/2012,10:19,01/23/2012,10:19,01/23/2012,02/06/2012,GMT 15:00,02/06/2012,Vanna Volga,81.064,10.6,4.519,0.123,OPSK9PQH,0
Double OT,,13907,AUDJPY,1,0,1,Double OT,,,,83.135,80.661,0,JPY,1,,0,1,1,96.75,0,97,99,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/13/2012,GMT 15:00,02/13/2012,Vanna Volga,81.064,11.21,4.551,0.13,OPSK9R3L,0
Double OT,,13618,AUDJPY,105,0,105,Double OT,,,,81.724,80.404,0,AUD,100,99.95,0,100,100,,0,"8,102","8,104",01/25/2012,10:29,01/23/2012,10:29,01/23/2012,02/09/2012,GMT 15:00,02/09/2012,Vanna Volga,81.064,11.37,4.535,0.126,OPSK9QL0,0
Double OT,,13716,AUDJPY,1,0,1,Double OT,,,,81.724,80.945,0,JPY,1,,0,1,1,100,0,100,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/09/2012,GMT 15:00,02/09/2012,Vanna Volga,81.064,11.37,4.535,0.126,OPSK9QVW,0
Double OT,,13601,AUDJPY,102,0,102,Double OT,,,,84.591,80.945,0,AUD,97,96.67,0,97,97,,0,"7,837","7,885",01/25/2012,10:29,01/23/2012,10:29,01/23/2012,02/09/2012,GMT 15:00,02/09/2012,Vanna Volga,81.064,11.37,4.535,0.126,OPSK9QJQ,0
Double OT,,13711,AUDJPY,1,0,1,Double OT,,,,81.994,80.945,0,JPY,1,,0,1,1,100,0,100,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/09/2012,GMT 15:00,02/09/2012,Vanna Volga,81.064,11.37,4.535,0.126,OPSK9QV5,0
Double OT,,13219,AUDJPY,103,0,103,Double OT,,,,81.555,79.842,0,AUD,98,98.12,0,98,99,,0,"7,954","8,031",01/25/2012,10:19,01/23/2012,10:19,01/23/2012,02/06/2012,GMT 15:00,02/06/2012,Vanna Volga,81.064,10.6,4.519,0.123,OPSK9PV0,0
Double OT,,13115,AUDJPY,1,0,1,Double OT,,,,81.733,77.619,0,JPY,1,,0,1,1,65.72,0,66,65,01/25/2012,10:20,01/23/2012,10:20,01/23/2012,02/02/2012,GMT 15:00,02/02/2012,Vanna Volga,81.064,11.07,4.484,0.119,OPSK9Q7C,0
Double OT,,13905,AUDJPY,1,0,1,Double OT,,,,84.963,79.345,0,JPY,1,,0,1,1,49.29,0,49,53,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/13/2012,GMT 15:00,02/13/2012,Vanna Volga,81.064,11.21,4.551,0.13,OPSK9R33,0
Double OT,,13301,AUDJPY,1,0,1,Double OT,,,,83.694,80.973,0,JPY,1,,0,1,1,97.85,0,98,98,01/25/2012,10:20,01/23/2012,10:20,01/23/2012,02/06/2012,GMT 15:00,02/06/2012,Vanna Volga,81.064,10.6,4.519,0.123,OPSK9Q7L,0
Double OT,,13403,AUDJPY,84,0,84,Double OT,,,,84.032,80.51,0,AUD,80,79.94,0,80,82,,0,"6,480","6,620",01/25/2012,10:29,01/23/2012,10:29,01/23/2012,02/06/2012,GMT 15:00,02/06/2012,Vanna Volga,81.064,10.6,4.519,0.123,OPSK9QH1,0
Double OT,,13205,AUDJPY,16,0,16,Double OT,,,,83.694,77.364,0,AUD,15,15.1,0,15,14,,0,"1,224","1,131",01/25/2012,10:19,01/23/2012,10:19,01/23/2012,02/06/2012,GMT 15:00,02/06/2012,Vanna Volga,81.064,10.6,4.519,0.123,OPSK9PR0,0
Double OT,,13412,AUDJPY,105,0,105,Double OT,,,,81.847,80.742,0,AUD,100,99.98,0,100,100,,0,"8,104","8,105",01/25/2012,10:29,01/23/2012,10:29,01/23/2012,02/06/2012,GMT 15:00,02/06/2012,Vanna Volga,81.064,10.6,4.519,0.123,OPSK9QH8,0
Double OT,,13512,AUDJPY,1,0,1,Double OT,,,,81.847,80.742,0,JPY,1,,0,1,1,99.99,0,100,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/06/2012,GMT 15:00,02/06/2012,Vanna Volga,81.064,10.6,4.519,0.123,OPSK9QN8,0
Double OT,,13112,AUDJPY,1,0,1,Double OT,,,,81.733,80.76,0,JPY,1,,0,1,1,99.99,0,100,100,01/25/2012,10:20,01/23/2012,10:20,01/23/2012,02/02/2012,GMT 15:00,02/02/2012,Vanna Volga,81.064,11.07,4.484,0.119,OPSK9Q6Y,0
Double OT,,13109,AUDJPY,1,0,1,Double OT,,,,82.426,79.834,0,JPY,1,,0,1,1,71.63,0,72,75,01/25/2012,10:20,01/23/2012,10:20,01/23/2012,02/02/2012,GMT 15:00,02/02/2012,Vanna Volga,81.064,11.07,4.484,0.119,OPSK9Q6K,0
Double OT,,13920,AUDJPY,1,0,1,Double OT,,,,81.809,79.345,0,JPY,1,,0,1,1,93.9,0,94,98,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/13/2012,GMT 15:00,02/13/2012,Vanna Volga,81.064,11.21,4.551,0.13,OPSK9R6B,0
