Security,,External ID,Ccy Pair,P/L USD,Premium USD,Value USD,Style,P/C Ccy,P/C,Strike,Barrier1,Barrier2,Premium,Prem Ccy,P/L Ccy1,Option Price % Ccy1,Prem CCY1,Value Ccy1,Theo. Value Ccy1,Option Price % Ccy2,Prem CCY2,Value Ccy2,Theo. Value Ccy2,Creation Date,Creation Time,Trade Date,Trade Time,Prem Date,Expiry Date,Cut,Delivery Date,Model,Spot,Volatility,Depo Ccy1,Depo Ccy2,BB#,mini
Clear Filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total USD Equivs,,,,"53,354",,"53,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDJPY - 81.064,,,AUDJPY,"5,548",,"5,548",,,,,,,,,"5,272",,,"5,272","5,355",,,"427,392","434,105",,,,,,,,,,,,,,,
One touch,,4006,AUDJPY,0,0,0,One touch,,,,82.517,,0,JPY,0,,0,0,0,18.84,0,19,19,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/30/2012,GMT 15:00,01/30/2012,Vanna Volga,81.064,10.25,4.469,0.118,OPSK9DZH,1
One touch,,4007,AUDJPY,1,0,1,One touch,,,,81.828,,0,JPY,1,,0,1,1,47.85,0,48,49,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/30/2012,GMT 15:00,01/30/2012,Vanna Volga,81.064,10.25,4.469,0.118,OPSK9DZJ,1
One touch,,4008,AUDJPY,1,0,1,One touch,,,,81.438,,0,JPY,1,,0,1,1,72.56,0,73,73,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/30/2012,GMT 15:00,01/30/2012,Vanna Volga,81.064,10.25,4.469,0.118,OPSK9DZK,1
One touch,,4009,AUDJPY,1,0,1,One touch,,,,81.325,,0,JPY,1,,0,1,1,80.56,0,81,81,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/30/2012,GMT 15:00,01/30/2012,Vanna Volga,81.064,10.25,4.469,0.118,OPSK9DZL,1
One touch,,4011,AUDJPY,1,0,1,One touch,,,,81.001,,0,JPY,1,,0,1,1,95.85,0,96,96,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/30/2012,GMT 15:00,01/30/2012,Vanna Volga,81.064,10.25,4.469,0.118,OPSK9DZM,1
One touch,,4012,AUDJPY,1,0,1,One touch,,,,80.891,,0,JPY,1,,0,1,1,88.57,0,89,89,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/30/2012,GMT 15:00,01/30/2012,Vanna Volga,81.064,10.25,4.469,0.118,OPSK9DZN,1
One touch,,4013,AUDJPY,1,0,1,One touch,,,,80.778,,0,JPY,1,,0,1,1,81.04,0,81,82,01/25/2012,8:28,01/23/2012,8:28,01/23/2012,01/30/2012,GMT 15:00,01/30/2012,Vanna Volga,81.064,10.25,4.469,0.118,OPSK9DZP,1
