Security,,External ID,Ccy Pair,P/L USD,Premium USD,Value USD,Style,P/C Ccy,P/C,Strike,Barrier1,Barrier2,Premium,Prem Ccy,P/L Ccy1,Option Price % Ccy1,Prem CCY1,Value Ccy1,Theo. Value Ccy1,Option Price % Ccy2,Prem CCY2,Value Ccy2,Theo. Value Ccy2,Creation Date,Creation Time,Trade Date,Trade Time,Prem Date,Expiry Date,Cut,Delivery Date,Model,Spot,Volatility,Depo Ccy1,Depo Ccy2,BB#,mini
Double OT,,14258,EURUSD,130,0,130,Double OT,,,,1.3155,1.2838,0,EUR,100,99.99,0,100,100,,0,130,130,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,1.3013,11.59,0.193,0.309,OPSK9R4J,0
Double OT,,14443,EURUSD,99,0,99,Double OT,,,,1.401,1.2815,0,EUR,76,75.98,0,76,79,,0,99,103,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9R7Z,0
Double OT,,14448,EURUSD,121,0,121,Double OT,,,,1.3525,1.2815,0,EUR,93,92.98,0,93,96,,0,121,125,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9R8P,0
Double OT,,14453,EURUSD,130,0,130,Double OT,,,,1.3256,1.2815,0,EUR,100,99.78,0,100,100,,0,130,130,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9R9C,0
Double OT,,14458,EURUSD,130,0,130,Double OT,,,,1.318,1.2815,0,EUR,100,99.99,0,100,100,,0,130,130,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9RB1,0
Double OT,,14643,EURUSD,100,0,100,Double OT,,,,1.412,1.2797,0,EUR,76,76.49,0,76,80,,0,100,104,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/23/2012,GMT 15:00,03/23/2012,Vanna Volga,1.3013,12.01,0.253,0.394,OPSK9RHL,0
Double OT,,14648,EURUSD,121,0,121,Double OT,,,,1.3581,1.2797,0,EUR,93,93.23,0,93,96,,0,121,125,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/23/2012,GMT 15:00,03/23/2012,Vanna Volga,1.3013,12.01,0.253,0.394,OPSK9RJL,0
Double OT,,14653,EURUSD,130,0,130,Double OT,,,,1.3284,1.2797,0,EUR,100,99.8,0,100,100,,0,130,130,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/23/2012,GMT 15:00,03/23/2012,Vanna Volga,1.3013,12.01,0.253,0.394,OPSK9RKM,0
Double OT,,14658,EURUSD,130,0,130,Double OT,,,,1.3199,1.2797,0,EUR,100,99.99,0,100,100,,0,130,130,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/23/2012,GMT 15:00,03/23/2012,Vanna Volga,1.3013,12.01,0.253,0.394,OPSK9RLR,0
Double OT,,14843,EURUSD,99,0,99,Double OT,,,,1.4401,1.2755,0,EUR,76,76.42,0,76,81,,0,99,105,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,1.3013,12.02,0.382,0.55,OPSK9RNF,0
