#underlying, tenor1, rate1, tenor2, rate2, ...
USD, 1, 0.102, 120, 0.218, 14, 0.171, 150, 0.231, 180, 0.245, 210, 0.242, 240, 0.259, 270, 0.279, 30, 0.155, 300, 0.29, 330, 0.313, 365, 0.344, 60, 0.205, 7, 0.126, 90, 0.233
JPY, 120, 0.177, 150, 0.216, 180, 0.149, 210, 0.286, 240, 0.326, 270, 0.354, 30, 0.079, 300, 0.384, 330, 0.411, 365, 0.275, 60, 0.101, 7, 0.054, 90, 0.108
NOK, 1, 1.48, 180, 1.69, 270, 1.83, 30, 1.59, 365, 1.93, 90, 1.66
SEK, 180, 0.362, 270, 1.466, 30, 0.174, 365, 1.592, 60, 0.21, 7, 0.105, 90, 0.274
CHF, 1, 0.02, 120, 0.036, 150, 0.063, 180, 0.049, 210, 0.1, 240, 0.122, 270, 0.143, 30, -0.002, 300, 0.173, 330, 0.209, 365, 0.148, 60, 0.003, 7, -0.008, 90, 0.003
EUR, 1, -0.011, 120, 0.267, 150, 0.309, 180, 0.182, 210, 0.165, 240, 0.153, 270, 0.152, 30, 0.009, 300, 0.156, 330, 0.166, 365, 0.18, 60, 0.043, 7, 0.005, 90, 0.081
CAD,  365, 0.763, 240, 0.789, 120, 0.814, 90, 0.856, 330, 0.762, 210, 0.797, 1, 0.5, 60, 0.85, 180, 0.804, 30, 0.85, 270, 0.78, 300, 0.77, 150, 0.809

