symbol,epoch,quote
frxUSDJPY,1352340370,79.889
frxUSDJPY,1352340371,79.893
frxUSDJPY,1352340373,79.893
frxUSDJPY,1352340375,79.893
frxUSDJPY,1352340376,79.893
frxUSDJPY,1352340377,79.892
frxUSDJPY,1352340380,79.892
frxUSDJPY,1352340388,79.907
frxUSDJPY,1352340391,79.896
frxUSDJPY,1352340396,79.901
frxUSDJPY,1352340397,79.895
frxUSDJPY,1352340398,79.888
frxUSDJPY,1352340400,79.889
frxUSDJPY,1352340402,79.888
frxUSDJPY,1352340403,79.888
frxUSDJPY,1352340404,79.88
frxUSDJPY,1352340405,79.885
frxUSDJPY,1352340407,79.887
frxUSDJPY,1352340408,79.887
frxUSDJPY,1352340412,79.889
frxUSDJPY,1352340413,79.887
frxUSDJPY,1352340414,79.886
frxUSDJPY,1352340417,79.889
frxUSDJPY,1352340419,79.885
frxUSDJPY,1352340420,79.885
frxUSDJPY,1352340421,79.883
frxUSDJPY,1352340422,79.88
frxUSDJPY,1352340424,79.877
frxUSDJPY,1352340427,79.877
frxUSDJPY,1352340428,79.873
frxUSDJPY,1352340429,79.88
frxUSDJPY,1352340430,79.872
frxUSDJPY,1352340431,79.872
frxUSDJPY,1352340433,79.865
frxUSDJPY,1352340434,79.859
frxUSDJPY,1352340435,79.866
frxUSDJPY,1352340437,79.868
frxUSDJPY,1352340439,79.868
frxUSDJPY,1352340441,79.869
frxUSDJPY,1352340442,79.872
frxUSDJPY,1352340443,79.871
frxUSDJPY,1352340444,79.871
frxUSDJPY,1352340445,79.871
frxUSDJPY,1352340447,79.872
frxUSDJPY,1352340453,79.871
frxUSDJPY,1352340454,79.871
frxUSDJPY,1352340455,79.871
frxUSDJPY,1352340456,79.879
frxUSDJPY,1352340457,79.872
frxUSDJPY,1352340458,79.868
frxUSDJPY,1352340459,79.867
frxUSDJPY,1352340460,79.866
frxUSDJPY,1352340461,79.867
frxUSDJPY,1352340463,79.866
frxUSDJPY,1352340464,79.863
frxUSDJPY,1352340465,79.865
frxUSDJPY,1352340466,79.863
frxUSDJPY,1352340467,79.86
frxUSDJPY,1352340468,79.86
frxUSDJPY,1352340469,79.86
frxUSDJPY,1352340471,79.855
frxUSDJPY,1352340472,79.855
frxUSDJPY,1352340473,79.856
frxUSDJPY,1352340474,79.857
frxUSDJPY,1352340476,79.862
frxUSDJPY,1352340477,79.867
frxUSDJPY,1352340478,79.863
frxUSDJPY,1352340479,79.857
frxUSDJPY,1352340480,79.858
frxUSDJPY,1352340481,79.858
frxUSDJPY,1352340483,79.86
frxUSDJPY,1352340485,79.863
frxUSDJPY,1352340487,79.867
frxUSDJPY,1352340489,79.864
frxUSDJPY,1352340492,79.864
frxUSDJPY,1352340493,79.871
frxUSDJPY,1352340494,79.867
frxUSDJPY,1352340495,79.865
frxUSDJPY,1352340496,79.866
frxUSDJPY,1352340500,79.868
frxUSDJPY,1352340501,79.864
frxUSDJPY,1352340502,79.861
frxUSDJPY,1352340503,79.86
frxUSDJPY,1352340504,79.86
frxUSDJPY,1352340507,79.86
frxUSDJPY,1352340508,79.858
frxUSDJPY,1352340510,79.853
frxUSDJPY,1352340511,79.853
frxUSDJPY,1352340512,79.853
frxUSDJPY,1352340514,79.854
frxUSDJPY,1352340517,79.852
frxUSDJPY,1352340520,79.852
frxUSDJPY,1352340521,79.852
frxUSDJPY,1352340522,79.852
frxUSDJPY,1352340526,79.852
frxUSDJPY,1352340527,79.852
frxUSDJPY,1352340529,79.852
frxUSDJPY,1352340531,79.85
frxUSDJPY,1352340532,79.851
frxUSDJPY,1352340534,79.866
frxUSDJPY,1352340538,79.851
frxUSDJPY,1352340540,79.853
frxUSDJPY,1352340541,79.853
