"SECURITIES","ERROR CODE","NUM FLDS","PX_LAST"
"AUDJPY BGN Curncy",0,1,91.718  ,
"AUDJPYON BGN Curncy",0,1,91.73405  ,
"AUDJPYTN BGN Curncy",0,1,91.726  ,
"AUDJPY1W BGN Curncy",0,1,91.66365  ,
"AUDJPY1M BGN Curncy",0,1,91.4641  ,
"AUDJPY2M BGN Curncy",0,1,91.26165  ,
"AUDJPY3M BGN Curncy",0,1,91.0398  ,
"AUDJPY6M BGN Curncy",0,1,90.37455  ,
