DATE,26-Nov-13,,,,,,,,,,,,,,,,,,,,,
TIME,02:28 GMT,,,,,,,,,,,,,,,,,,,,,
FILE,SD_SX5E2,,,,,,,,,,,,,,,,,,,,,
UNDERLYING,SX5E,,,,,,,,,,,,,,,,,,,,,
SPOT,3072.75,,,,,,,,,,,,,,,,,,,,,
CURRENCY,USD,,,,,,,,,,,,,,,,,,,,,
SABR PARAMETERS,,,,,5-Nov,21-Nov,-21,-5,,,,,,,,,,,,,,
atmvolshort,0.1165,,,,17-Nov,14-Jan,-9,49,,,,,,,,,,,,,,
atmvol1year,0.17787,,,,17-Jan,13-Feb,52,79,,,,,,,,,,,,,,
atmvolLong,0.20767,,,,14-Feb,15-Apr,80,140,,,,,,,,,,,,,,
atmWingL,0.5507,,,,21-Apr,24-Jun,146,210,,,,,,,,,,,,,,
atmWingR,3.27631,,,,25-Jun,25-Jul,211,241,,,,,,,,,,,,,,
skewshort,-0.02096,,,,5-May,8-Jul,160,224,,,,,,,,,,,,,,
skew1year,-0.18829,,,,,,,,,,,,,,,,,,,,,
skewlong,-0.19126,,,,,,,,,,,,,,,,,,,,,
skewwingL,19.97639,,,,,,,,,,,,,,,,,,,,,
skewwingR,3.01558,,,,,,,,,,,,,,,,,,,,,
kurtosisshort,0.35972,,,,,,,,,,,,,,,,,,,,,
kurtosislong,0.3383,,,,,,,,,,,,,,,,,,,,,
kurtosisgrowth,4.85351,,,,,,,,,,,,,,,,,,,,,
END SABR PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
VOL SURFACE STANDARD DATES,,,,,,,,,,,,,,,,,,,,,,
,%ATMS,80%,82%,84%,86%,88%,90%,92%,94%,96%,98%,100%,102%,104%,106%,108%,110%,112%,114%,116%,118%,120%
26-Nov-18,,21.7080383804,21.4804156291,21.2580304094,21.0445516208,20.8398503983,20.64,20.4426505806,20.2524203079,20.0753962784,19.9113876025,19.7539255623,19.5982665777,19.4476592802,19.3071843063,19.1781024602,19.0578545513,18.9443460076,18.8380056262,18.7398552038,18.6500452031,18.567854726
26-Nov-20,,21.5602345546,21.3918363665,21.2301140328,21.0724768282,20.9168131976,20.7614912275,20.6060682681,20.4547736767,20.3127918509,20.180421554,20.053076506,19.9277826641,19.8088634775,19.7021641559,19.6065759287,19.5140363412,19.4189472138,19.3267761509,19.2453923583,19.1742762153,19.1045193813
27-Nov-23,,21.5901338329,21.4581072513,21.3333088426,21.2062418908,21.0761155021,20.9508443368,20.8366732652,20.731654908,20.6318754077,20.5352903351,20.4417243598,20.351190405,20.264129914,20.1810353747,20.1011060106,20.0222476219,19.9433814767,19.8677160096,19.799289756,19.7365809707,19.6725075715
END VOL SURFACE STANDARD DATES,,,,,,,,,,,,,,,,,,,,,,
TERM STRUCTURE STANDARD DATES USD,,,,,,,,,,,,,,,,,,,,,,
Term,ATM Vol Mid(%),ATM Vol Spread(%),Var Swap(%),Forward Price(USD),Forward Price(%),Dividend points,Security Lending(%),Funding rate(%),,,,,,,,,,,,,,
3-Dec-13,9.35,1.61,10.32,1801.79,99.96,0.76,0,0.2,,,,,,,,,,,,,,
26-Dec-13,10.41,0.8,12.68,1799.9,99.86,2.84,0,0.17,,,,,,,,,,,,,,
27-Jan-14,11.52,0.71,13.75,1798.66,99.79,4.45,0,0.2,,,,,,,,,,,,,,
26-Feb-14,12.26,0.62,14.67,1795.4,99.61,8.15,0,0.23,,,,,,,,,,,,,,
