,%ATMS,80%,82%,84%,86%,88%,90%,92%,94%,96%,98%,100%,102%,104%,106%,108%,110%,112%,114%,116%,118%,120%
11-Nov-16,,19.97376232,19.63357613,19.29610397,18.96470192,18.64294966,18.33464778,18.0429821,17.76865286,17.5116618,17.27018746,17.04058458,16.8197297,16.60690096,16.40214508,16.20937317,16.03635798,15.88877466,15.76324819,15.65417357,15.5566507,15.46648375
13-Nov-17,,20.79170217,20.5056387,20.22092676,19.94186323,19.67051496,19.40669714,19.15067448,18.90499655,18.67269089,18.45424706,18.24761134,18.05104446,17.86448444,17.68832453,17.52374885,17.37271263,17.23650606,17.11371316,17.00224514,16.89977273,16.80372084
12-Nov-18,,21.29402033,21.03825792,20.78326297,20.53370682,20.29067847,20.05168368,19.81531807,19.58516936,19.36594977,19.1595085,18.96483203,18.78104751,18.60833798,18.44711784,18.297074,18.15716666,18.02644943,17.90447581,17.79090037,17.68482057,17.58477601
11-Nov-20,,22.9940637,22.78127716,22.58079498,22.39225467,22.21051697,22.02566587,21.83037948,21.62853997,21.42681794,21.23160682,21.04902223,20.8833463,20.73158049,20.58896856,20.45217202,20.31926979,20.18826196,20.05658645,19.92178263,19.78694875,19.66074077
13-Nov-23,,25.06782867,24.88775212,24.70741882,24.53039287,24.35784054,24.1885303,24.0216745,23.85867956,23.70140158,23.54941773,23.40002655,23.25110979,23.1032762,22.95782309,22.81621264,22.68007197,22.55076911,22.42860708,22.31358527,22.20484625,22.10067626
END VOL SURFACE STANDARD DATES,,,,,,,,,,,,,,,,,,,,,,
TERM STRUCTURE STANDARD DATES,,,,,,,,,,,,,,,,,,,,,,
Term,ATM Vol Mid(%),ATM Vol Spread(%),Var Swap(%),Forward Price(USD),Forward Price(%),Dividend points,Security Lending(%),Funding rate(%),,,,,,,,,,,,,,
18-Nov-13,11.34,0.54,11.82,6690,99.73,19.03,0,0.48,,,,,,,,,,,,,,
11-Dec-13,11.76,0.5,12.7,6682.1,99.61,29.01,0,0.49,,,,,,,,,,,,,,
13-Jan-14,11.89,0.45,13.62,6684.82,99.65,29.41,0,0.5,,,,,,,,,,,,,,
11-Feb-14,12.51,0.4,14.53,6684.46,99.64,32.79,0,0.53,,,,,,,,,,,,,,
12-May-14,13.84,0.39,16.45,6605.52,98.47,122.77,0,0.6,,,,,,,,,,,,,,
11-Aug-14,14.46,0.37,17.25,6560.35,97.79,178.66,0,0.62,,,,,,,,,,,,,,
11-Nov-14,14.88,0.36,17.86,6527.68,97.31,224.47,0,0.67,,,,,,,,,,,,,,
11-May-15,15.28,0.33,18.09,6427.36,95.81,353.65,0,0.74,,,,,,,,,,,,,,
11-Nov-15,15.95,0.3,18.72,6374.2,95.02,444.38,0,0.85,,,,,,,,,,,,,,
11-Nov-16,17.04,0.3,18.27,6255.91,93.25,674.55,0,1.16,,,,,,,,,,,,,,
13-Nov-17,18.25,0.3,19.32,6196.12,92.36,890.53,0,1.5,,,,,,,,,,,,,,
12-Nov-18,18.96,0.3,19.85,6180.84,92.14,1092.76,0,1.82,,,,,,,,,,,,,,
11-Nov-20,21.05,0.3,21.58,6184.08,92.18,1530.59,0,2.33,,,,,,,,,,,,,,
13-Nov-23,23.4,0.3,27.64,6327.02,94.31,2150.82,0,2.88,,,,,,,,,,,,,,
END TERM STRUCTURE STANDARD DATES,,,,,,,,,,,,,,,,,,,,,,
VOL SPREADS,,,,,,,,,,,,,,,,,,,,,,
Date,Days, Volatility Spread (%),,,,,,,,,,,,,,,,,,,,
