Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
03-Dec-11,GBPAUD,GBP,AUD,ED,C,1.5268,1.55,,,16,19-Dec-11,19-Dec-11,0.27125,13.52,2.9436,0.01578,-0.01446,-0.00493,0,0,0.2425,0.3,GBPAUD_17,0
03-Dec-11,GBPAUD,GBP,AUD,ED,C,1.5268,1.555,,,16,19-Dec-11,19-Dec-11,0.23625,12.55,3.348,0.01795,-0.0161,-0.00457,0,0,0.2075,0.265,GBPAUD_18,0
03-Dec-11,GBPAUD,GBP,AUD,ED,C,1.5268,1.56,,,16,19-Dec-11,19-Dec-11,0.2075,11.47,3.6204,0.01941,-0.01712,-0.00418,0,0,0.18,0.235,GBPAUD_19,0
03-Dec-11,GBPAUD,GBP,AUD,ED,C,1.5268,1.565,,,16,19-Dec-11,19-Dec-11,0.1775,10.32,3.761,0.02016,-0.01751,-0.00375,0,0,0.15,0.205,GBPAUD_20,0
03-Dec-11,GBPAUD,GBP,AUD,ED,C,1.5268,1.57,,,16,19-Dec-11,19-Dec-11,0.1525,9.1418,3.7776,0.02025,-0.01733,-0.00333,0,0,0.125,0.18,GBPAUD_21,0
03-Dec-11,GBPAUD,GBP,AUD,ED,C,1.5268,1.575,,,16,19-Dec-11,19-Dec-11,0.12875,7.98,3.6846,0.01975,-0.01667,-0.0029,0,0,0.1025,0.155,GBPAUD_22,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.47,,,16,19-Dec-11,19-Dec-11,0.0525,-4.7734,2.8196,0.01512,-0.0113,0.00167,0,0,0.0275,0.0775,GBPAUD_23,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.475,,,16,19-Dec-11,19-Dec-11,0.06875,-5.8022,3.1268,0.01676,-0.01266,0.00202,0,0,0.0425,0.095,GBPAUD_24,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.48,,,16,19-Dec-11,19-Dec-11,0.09,-6.9258,3.3748,0.01809,-0.01378,0.00242,0,0,0.0625,0.1175,GBPAUD_25,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.485,,,16,19-Dec-11,19-Dec-11,0.115,-8.1197,3.5388,0.01897,-0.01454,0.00283,0,0,0.0875,0.1425,GBPAUD_26,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.49,,,16,19-Dec-11,19-Dec-11,0.145,-9.3515,3.5962,0.01928,-0.01482,0.00326,0,0,0.1175,0.1725,GBPAUD_27,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.495,,,16,19-Dec-11,19-Dec-11,0.18,-10.58,3.5286,0.01892,-0.01454,0.00368,0,0,0.1525,0.2075,GBPAUD_28,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.5,,,16,19-Dec-11,19-Dec-11,0.22125,-11.77,3.3245,0.01782,-0.01364,0.00409,0,0,0.1925,0.25,GBPAUD_29,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.505,,,16,19-Dec-11,19-Dec-11,0.26875,-12.86,2.9807,0.01598,-0.0121,0.00447,0,0,0.24,0.2975,GBPAUD_30,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.51,,,16,19-Dec-11,19-Dec-11,0.32125,-13.82,2.5035,0.01342,-0.00993,0.0048,0,0,0.2925,0.35,GBPAUD_31,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.515,,,16,19-Dec-11,19-Dec-11,0.37625,-14.6,1.9085,0.01023,-0.00722,0.00506,0,0,0.3475,0.405,GBPAUD_32,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.52,,,16,19-Dec-11,19-Dec-11,0.43375,-15.16,1.2204,0.00654,-0.00408,0.00525,0,0,0.405,0.4625,GBPAUD_33,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.525,,,16,19-Dec-11,19-Dec-11,0.48875,-15.49,0.47073,0.00252,-0.00067,0.00535,0,0,0.46,0.5175,GBPAUD_34,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.53,,,16,19-Dec-11,19-Dec-11,0.5425,-15.57,-0.30445,-0.00163,0.00285,0.00536,0,0,0.5125,0.5725,GBPAUD_35,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.535,,,16,19-Dec-11,19-Dec-11,0.59375,-15.4,-1.0674,-0.00572,0.00628,0.00529,0,0,0.565,0.6225,GBPAUD_36,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.54,,,16,19-Dec-11,19-Dec-11,0.64375,-14.98,-1.7819,-0.00955,0.00946,0.00513,0,0,0.615,0.6725,GBPAUD_37,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.545,,,16,19-Dec-11,19-Dec-11,0.68875,-14.35,-2.4158,-0.01295,0.01223,0.00489,0,0,0.66,0.7175,GBPAUD_38,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.55,,,16,19-Dec-11,19-Dec-11,0.72875,-13.52,-2.9436,-0.01578,0.01448,0.00458,0,0,0.7,0.7575,GBPAUD_39,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.555,,,16,19-Dec-11,19-Dec-11,0.76375,-12.55,-3.348,-0.01795,0.01612,0.00422,0,0,0.735,0.7925,GBPAUD_40,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.56,,,16,19-Dec-11,19-Dec-11,0.7925,-11.47,-3.6204,-0.01941,0.01714,0.00382,0,0,0.765,0.82,GBPAUD_41,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.565,,,16,19-Dec-11,19-Dec-11,0.8225,-10.32,-3.761,-0.02016,0.01753,0.0034,0,0,0.795,0.85,GBPAUD_42,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.57,,,16,19-Dec-11,19-Dec-11,0.8475,-9.1418,-3.7776,-0.02025,0.01736,0.00297,0,0,0.82,0.875,GBPAUD_43,0
03-Dec-11,GBPAUD,GBP,AUD,ED,P,1.5268,1.575,,,16,19-Dec-11,19-Dec-11,0.87125,-7.98,-3.6846,-0.01975,0.01669,0.00255,0,0,0.845,0.8975,GBPAUD_44,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.47,,16,19-Dec-11,19-Dec-11,0.105,-9.7904,5.8574,0.03093,-0.0234,0.00263,0,0,0.0775,0.1325,GBPAUD_45,0
