,%ATMS,80%,82%,84%,86%,88%,90%,92%,94%,96%,98%,100%,102%,104%,106%,108%,110%,112%,114%,116%,118%,120%
6-Nov-15,,24.4560421095,24.1387963193,23.8236853523,23.5124062452,23.2052190852,22.89865252,22.5885842972,22.2700463667,21.9374610677,21.5891894463,21.2350772112,20.8865644896,20.5475483577,20.2159271519,19.890209545,19.5714530311,19.2611862636,18.9599758226,18.6675315448,18.3840229636,18.1114457845
7-Nov-16,,24.3185693041,24.0634423037,23.8132661558,23.5654013692,23.3181707002,23.0724642492,22.8292220618,22.5845697394,22.3312027173,22.064779449,21.789755814,21.5120842247,21.2364328811,20.9664564935,20.7044609391,20.4484138879,20.1955097877,19.9451205458,19.6985494606,19.457084645,19.2217038152
6-Nov-17,,24.5400136705,24.323968691,24.1106998369,23.899519764,23.6897865504,23.4809704568,23.2726805775,23.0661583786,22.8638105907,22.6650260988,22.4603507979,22.2395150242,22.0046839005,21.7679150251,21.5385748364,21.3163173184,21.0988723734,20.8850623592,20.6746755037,20.4675460111,20.2635582765
6-Nov-18,,24.7045802248,24.5191331467,24.3370115932,24.1587866708,23.9842015241,23.8108596553,23.6362877813,23.4615354699,23.290162244,23.1238403012,22.9586170057,22.789680621,22.6145604389,22.4326334214,22.2442714984,22.052976571,21.8628169059,21.6763992698,21.4950349727,21.3192577398,21.1468871622
6-Nov-20,,25.5733665917,25.4236748261,25.2751439915,25.1294406284,24.9874937692,24.8482703873,24.7104945082,24.573807742,24.4385060497,24.3048530867,24.1729776352,24.0429558253,23.9144212042,23.7866560546,23.658741102,23.5291278284,23.3961936943,23.2593275154,23.1188112507,22.9753060669,22.830770536
6-Nov-23,,29.1198894844,28.9416907058,28.7692028943,28.5989179649,28.4286221158,28.2596077568,28.0936054516,27.9305345519,27.7690101845,27.6087994975,27.4531200591,27.3054394639,27.1631236868,27.0186607183,26.8675275291,26.7155190577,26.5701417022,26.4310087568,26.2907133283,26.1445507487,25.9988083323
END VOL SURFACE STANDARD DATES,,,,,,,,,,,,,,,,,,,,,,
TERM STRUCTURE STANDARD DATES,,,,,,,,,,,,,,,,,,,,,,
Term,ATM Vol Mid(%),ATM Vol Spread(%),Var Swap(%),Forward Price(USD),Forward Price(%),Dividend points,Security Lending(%),Funding rate(%),,,,,,,,,,,,,,
13-Nov-13,20.05,0.49,21.23,2141.36,100.08,0,0.2,4.42,,,,,,,,,,,,,,
6-Dec-13,20.01,0.49,21.4,2147.25,100.36,0,0.2,4.49,,,,,,,,,,,,,,
6-Jan-14,20.08,0.5,21.53,2155.5,100.74,0,0.2,4.59,,,,,,,,,,,,,,
10-Feb-14,20.23,0.5,21.62,2165.22,101.2,0,0.2,4.69,,,,,,,,,,,,,,
6-May-14,20.68,0.52,21.83,2189.87,102.35,0,0.2,4.88,,,,,,,,,,,,,,
6-Aug-14,21.07,0.53,21.95,2216.61,103.6,0,0.2,4.95,,,,,,,,,,,,,,
6-Nov-14,21.26,0.54,21.93,2243.61,104.86,0,0.2,5,,,,,,,,,,,,,,
6-May-15,21.15,0.57,21.51,2296.83,107.35,0,0.2,5,,,,,,,,,,,,,,
6-Nov-15,21.24,0.6,21.42,2352.07,109.93,0,0.2,4.99,,,,,,,,,,,,,,
7-Nov-16,21.79,0.63,21.89,2465.19,115.22,0,0.2,4.97,,,,,,,,,,,,,,
6-Nov-17,22.46,0.67,22.57,2583.87,120.76,0,0.2,4.97,,,,,,,,,,,,,,
6-Nov-18,22.96,0.7,23.14,2709.88,126.65,0,0.2,4.98,,,,,,,,,,,,,,
6-Nov-20,24.17,0.82,24.56,2987.82,139.64,0,0.2,5.02,,,,,,,,,,,,,,
6-Nov-23,27.45,1,28.66,3469.69,162.16,0,0.2,5.09,,,,,,,,,,,,,,
END TERM STRUCTURE STANDARD DATES,,,,,,,,,,,,,,,,,,,,,,
VOL SPREADS,,,,,,,,,,,,,,,,,,,,,,
Date,Days,Volatility Spread (%),,,,,,,,,,,,,,,,,,,,
4-Feb-14,90,0.5,,,,,,,,,,,,,,,,,,,,
6-Nov-15,730,0.6,,,,,,,,,,,,,,,,,,,,
5-Nov-18,1825,0.7,,,,,,,,,,,,,,,,,,,,
4-Nov-23,3650,1,,,,,,,,,,,,,,,,,,,,
END VOL SPREADS,,,,,,,,,,,,,,,,,,,,,,
RATES,,,,,,,,,,,,,,,,,,,,,,
Date,Days,Rate (%pa),Discount Factor,,,,,,,,,,,,,,,,,,,
13-Nov-13,7,4.4182864837,0.9991416262,,,,,,,,,,,,,,,,,,,
7-Feb-14,93,4.6841787497,0.9880438834,,,,,,,,,,,,,,,,,,,
7-May-14,182,4.8789378502,0.9759280121,,,,,,,,,,,,,,,,,,,
7-Aug-14,274,4.9535673204,0.9636676562,,,,,,,,,,,,,,,,,,,
7-Nov-14,366,5.0025886766,0.9515829687,,,,,,,,,,,,,,,,,,,
9-Nov-15,733,4.9888730239,0.905628216,,,,,,,,,,,,,,,,,,,
7-Nov-16,1097,4.9675685797,0.8626613031,,,,,,,,,,,,,,,,,,,
7-Nov-17,1462,4.9681213693,0.8212652724,,,,,,,,,,,,,,,,,,,
7-Nov-18,1827,4.9780853909,0.7814916869,,,,,,,,,,,,,,,,,,,
7-Nov-23,3653,5.0908027165,0.6041963569,,,,,,,,,,,,,,,,,,,
END RATES,,,,,,,,,,,,,,,,,,,,,,
DIVIDENDS,,,,,,,,,,,,,,,,,,,,,,
Date,Implied Dividends,,,,,,,,,,,,,,,,,,,,,
31-Oct-13,0,,,,,,,,,,,,,,,,,,,,,
5-Nov-13,0,,,,,,,,,,,,,,,,,,,,,
7-Nov-13,0,,,,,,,,,,,,,,,,,,,,,
13-Nov-13,0,,,,,,,,,,,,,,,,,,,,,
25-Nov-13,0,,,,,,,,,,,,,,,,,,,,,
27-Nov-13,0,,,,,,,,,,,,,,,,,,,,,
END DIVIDENDS,,,,,,,,,,,,,,,,,,,,,,
DOUBLENOTOUCH PAYOUT CNY,,,,,,,,,,,,,,,,,,,,,,
Low Trigger %,Expiry,High Trigger %,Strike,ID,mini,,,,,,,,,,,,,,,,,
81,1/16/2014,102,8.24712319,SSECOMP 1111,1,,,,,,,,,,,,,,,,,
81,1/16/2014,103,14.69635637,SSECOMP 1208,0,,,,,,,,,,,,,,,,,
