NOTE,Note: Vol surface is 10am NY cut,,,,,,,,,,,,,,,,,,,,,
NOTE,Note: Greeks displayed in Premium  CCY,,,,,,,,,,,,,,,,,,,,,
NOTE,Note: Does not take local currency holidays into account,,,,,,,,,,,,,,,,,,,,,
NOTE,Note: bet prices in % of Base Currency,,,,,,,,,,,,,,,,,,,,,
CURRENCIES,EUR,USD, , ,,,,,,,,,,,,,,,,,,
DATE,17-Nov-11,, , , ,, ,,,,,,,,,,,,,,,
TIME,03:00:00 GMT,,,,,,,,,,,,,,,,,,,,,
SPOT,1.3468, ,, , ,, ,,,,,,,, , , , ,,,,
START RATES,,, , , ,, ,, , , , , , , , , , ,,,,
Col_names,1 Day,1 Week,2 Weeks,3 Weeks,1 Month,2 Months,3 Months,6 Months,9 Months,1 Year,18 Months,2 Years,3 Years,4 Years,5 Years,7 Years,10 Years,,,,,
Forward Points,-0.0000069,-0.000055,-0.00019,-0.00013094,-0.000055,0.0005125,0.00091,0.001925,0.003205,0.0044675,0.00584185,0.007,0.006,0.00456,0.007515,0.01045,0.02025,,,,,
Depo Base,0.489,0.56,0.698,0.486,0.349,0.232,0.44,0.417,0.81,0.851,0.812,0.773,0.718,0.984,1.208,1.678,2.098,,,,,
Depo Term,0.305,0.35,0.335,0.32,0.3,0.45,0.705,0.7,1.125,1.18,1.1,1.018,0.857,1.068,1.319,1.789,2.248,,,,,
END RATES,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,
START VOL,,,,,,,,,,,,,,,,,,,,,,
Col_names, 1 Day , 1 Week , 2 Weeks , 3 Weeks , 1 Month , 2 Months , 3 Months , 6 Months , 9 Months , 1 Year , 18 Months , 2 Years , 3 Years , 4 Years , 5 Years , 7 Years , 10 Years ,,,,,
Volatility,17.926,16.275,16.102,16.044,15.875,15.7,15.875,15.8,15.797,15.8,15.514,15.35,14.85,14.35,14,13.55,13.18,,,,,
Volatility Spread,1.984,0.75,0.61,0.47,0.25,0.2,0.25,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,,,,,
25 Delta Risk Reversal,-1.382,-1.85,-2.396,-2.942,-3.8,-4.15,-4.25,-4.35,-4.4,-4.45,-4.229,-4,-3.5,-3,-2.5,-2.4,-1.25,,,,,
25 Delta Butterfly,0.231,0.25,0.272,0.295,0.33,0.37,0.42,0.51,0.56,0.6,0.571,0.54,0.53,0.49,0.45,0.38,0.37,,,,,
END VOL,,,,,,,,,,,,,,,,,,,,,,
START PRICES,,,,,,,,,,,,,,,,,,,,,,
Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Price Bid,Price Offer,ID,mini
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,1,18-Nov-11,18-Nov-11,0.0151,-0.06875,0.27585,0.00014,-0.00016,0,0.0002,0.03,EURUSD_1,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,2,19-Nov-11,19-Nov-11,0.03035,-0.2547,0.81733,0.00063,-0.00073,0,0.0007,0.06,EURUSD_2,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,3,20-Nov-11,20-Nov-11,0.04625,-1.6203,3.2967,0.00394,-0.00612,0,0.0075,0.085,EURUSD_3,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,4,21-Nov-11,21-Nov-11,0.06,-4.4476,5.9968,0.01015,-0.01686,0,0.0175,0.1025,EURUSD_4,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,5,22-Nov-11,22-Nov-11,0.07,-7.0365,7.0896,0.01551,-0.0237,0.00016,0.025,0.115,EURUSD_5,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,6,23-Nov-11,23-Nov-11,0.0975,-9.0236,7.2549,0.01946,-0.02645,0.0004,0.0525,0.1425,EURUSD_6,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,7,24-Nov-11,24-Nov-11,0.12125,-10.22,7.0703,0.02207,-0.0261,0.00066,0.0775,0.165,EURUSD_7,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,8,25-Nov-11,25-Nov-11,0.1475,-11.26,6.7043,0.02411,-0.02539,0.00094,0.105,0.19,EURUSD_8,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,9,26-Nov-11,26-Nov-11,0.155,-11.47,6.6007,0.02561,-0.02299,0.00119,0.115,0.195,EURUSD_9,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,10,27-Nov-11,27-Nov-11,0.175,-11.99,6.2916,0.02694,-0.02168,0.00147,0.1375,0.2125,EURUSD_10,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,11,28-Nov-11,28-Nov-11,0.1975,-12.54,5.8597,0.02788,-0.02065,0.00175,0.16,0.235,EURUSD_11,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,12,29-Nov-11,29-Nov-11,0.2175,-12.93,5.4451,0.02849,-0.01954,0.00201,0.1825,0.2525,EURUSD_12,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,13,30-Nov-11,30-Nov-11,0.2375,-13.21,5.0587,0.02888,-0.01842,0.00226,0.205,0.27,EURUSD_13,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,14,01-Dec-11,01-Dec-11,0.25625,-13.4,4.7045,0.0291,-0.01733,0.00249,0.225,0.2875,EURUSD_14,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,15,02-Dec-11,02-Dec-11,0.2725,-13.52,4.3816,0.02919,-0.01631,0.00271,0.2425,0.3025,EURUSD_15,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,16,03-Dec-11,03-Dec-11,0.27625,-13.54,4.3042,0.0299,-0.0153,0.00295,0.2475,0.305,EURUSD_16,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,17,04-Dec-11,04-Dec-11,0.2875,-13.58,4.0948,0.0301,-0.01443,0.00316,0.26,0.315,EURUSD_17,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,18,05-Dec-11,05-Dec-11,0.3025,-13.61,3.828,0.02998,-0.01365,0.00335,0.275,0.33,EURUSD_18,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,19,06-Dec-11,06-Dec-11,0.31125,-13.61,3.5884,0.02981,-0.01291,0.00353,0.285,0.3375,EURUSD_19,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,20,07-Dec-11,07-Dec-11,0.3225,-13.58,3.3712,0.0296,-0.01222,0.00369,0.2975,0.3475,EURUSD_20,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,21,08-Dec-11,08-Dec-11,0.33375,-13.54,3.1735,0.02938,-0.01158,0.00384,0.31,0.3575,EURUSD_21,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,22,09-Dec-11,09-Dec-11,0.34375,-13.48,2.9936,0.02913,-0.01099,0.00399,0.32,0.3675,EURUSD_22,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,23,10-Dec-11,10-Dec-11,0.345,-13.46,2.9521,0.02956,-0.01048,0.00419,0.3225,0.3675,EURUSD_23,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,24,11-Dec-11,11-Dec-11,0.3525,-13.41,2.8357,0.02953,-0.00999,0.00434,0.33,0.375,EURUSD_24,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,25,12-Dec-11,12-Dec-11,0.36,-13.33,2.6854,0.02924,-0.00952,0.00446,0.3375,0.3825,EURUSD_25,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,26,13-Dec-11,13-Dec-11,0.36875,-13.25,2.5472,0.02894,-0.00909,0.00458,0.3475,0.39,EURUSD_26,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,27,14-Dec-11,14-Dec-11,0.37625,-13.16,2.4201,0.02865,-0.00868,0.00469,0.355,0.3975,EURUSD_27,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,28,15-Dec-11,15-Dec-11,0.38375,-13.07,2.3028,0.02835,-0.0083,0.00479,0.3625,0.405,EURUSD_28,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,29,16-Dec-11,16-Dec-11,0.39,-12.97,2.1947,0.02806,-0.00795,0.00489,0.37,0.41,EURUSD_29,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,30,17-Dec-11,17-Dec-11,0.3925,-12.95,2.1695,0.02834,-0.00767,0.00506,0.3725,0.4125,EURUSD_30,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,31,18-Dec-11,18-Dec-11,0.395,-12.88,2.0982,0.02825,-0.00737,0.00517,0.375,0.415,EURUSD_31,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,32,19-Dec-11,19-Dec-11,0.4,-12.78,2.0054,0.02795,-0.00708,0.00525,0.38,0.42,EURUSD_32,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,1,18-Nov-11,18-Nov-11,0.001,0,0,0,0,0,0,0.002,EURUSD_33,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,2,19-Nov-11,19-Nov-11,0.001,0,0,0,0,0,0,0.002,EURUSD_34,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,3,20-Nov-11,20-Nov-11,0.001,-0.00001,0.00003,0,0,0,0,0.002,EURUSD_35,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,4,21-Nov-11,21-Nov-11,0.00105,-0.00114,0.00325,0.00001,0,0,0,0.0021,EURUSD_36,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,5,22-Nov-11,22-Nov-11,0.0063,-0.01442,0.03071,0.00007,-0.00006,0,0.0001,0.0125,EURUSD_37,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,6,23-Nov-11,23-Nov-11,0.02645,-0.064,0.10878,0.00029,-0.00026,0,0.0004,0.0525,EURUSD_38,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,7,24-Nov-11,24-Nov-11,0.03045,-0.14352,0.21002,0.00066,-0.00056,0.00001,0.0009,0.06,EURUSD_39,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,8,25-Nov-11,25-Nov-11,0.03355,-0.28432,0.35833,0.00129,-0.00107,0.00003,0.0021,0.065,EURUSD_40,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,9,26-Nov-11,26-Nov-11,0.03245,-0.32748,0.39885,0.00155,-0.00113,0.00004,0.0024,0.0625,EURUSD_41,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,10,27-Nov-11,27-Nov-11,0.0344,-0.46702,0.51866,0.00222,-0.00151,0.00007,0.0038,0.065,EURUSD_42,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,11,28-Nov-11,28-Nov-11,0.035,-0.69314,0.68584,0.00326,-0.0021,0.00012,0.005,0.065,EURUSD_43,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,12,29-Nov-11,29-Nov-11,0.03875,-0.94777,0.84533,0.00442,-0.0027,0.00019,0.01,0.0675,EURUSD_44,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,13,30-Nov-11,30-Nov-11,0.04125,-1.2205,0.99073,0.00565,-0.00327,0.00027,0.0125,0.07,EURUSD_45,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,14,01-Dec-11,01-Dec-11,0.0425,-1.5021,1.1187,0.00691,-0.00379,0.00036,0.015,0.07,EURUSD_46,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,15,02-Dec-11,02-Dec-11,0.04375,-1.7864,1.2288,0.00817,-0.00425,0.00047,0.0175,0.07,EURUSD_47,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,16,03-Dec-11,03-Dec-11,0.04625,-1.8584,1.2542,0.0087,-0.00417,0.00053,0.02,0.0725,EURUSD_48,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,17,04-Dec-11,04-Dec-11,0.0525,-2.0613,1.3197,0.00968,-0.00437,0.00063,0.0275,0.0775,EURUSD_49,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,18,05-Dec-11,05-Dec-11,0.06,-2.3367,1.3964,0.01091,-0.00471,0.00076,0.035,0.085,EURUSD_50,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,19,06-Dec-11,06-Dec-11,0.06625,-2.6003,1.4574,0.01208,-0.00499,0.0009,0.0425,0.09,EURUSD_51,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,20,07-Dec-11,07-Dec-11,0.07375,-2.8527,1.5053,0.01319,-0.00522,0.00105,0.05,0.0975,EURUSD_52,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,21,08-Dec-11,08-Dec-11,0.08,-3.0933,1.5418,0.01424,-0.00541,0.0012,0.0575,0.1025,EURUSD_53,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,22,09-Dec-11,09-Dec-11,0.0875,-3.3211,1.5684,0.01523,-0.00555,0.00135,0.065,0.11,EURUSD_54,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,23,10-Dec-11,10-Dec-11,0.09125,-3.375,1.5735,0.01572,-0.0054,0.00144,0.07,0.1125,EURUSD_55,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,24,11-Dec-11,11-Dec-11,0.09625,-3.528,1.5859,0.01648,-0.00542,0.00158,0.075,0.1175,EURUSD_56,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,25,12-Dec-11,12-Dec-11,0.10375,-3.7305,1.5971,0.01736,-0.0055,0.00174,0.0825,0.125,EURUSD_57,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,26,13-Dec-11,13-Dec-11,0.11125,-3.9211,1.6024,0.01818,-0.00557,0.0019,0.09,0.1325,EURUSD_58,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,27,14-Dec-11,14-Dec-11,0.1175,-4.0998,1.6026,0.01894,-0.00561,0.00206,0.0975,0.1375,EURUSD_59,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,28,15-Dec-11,15-Dec-11,0.12375,-4.2675,1.5985,0.01965,-0.00564,0.00222,0.1025,0.145,EURUSD_60,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,29,16-Dec-11,16-Dec-11,0.13,-4.4241,1.5908,0.02031,-0.00564,0.00238,0.11,0.15,EURUSD_61,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,30,17-Dec-11,17-Dec-11,0.1325,-4.4609,1.5883,0.02072,-0.0055,0.00249,0.1125,0.1525,EURUSD_62,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,31,18-Dec-11,18-Dec-11,0.1375,-4.5652,1.5803,0.02125,-0.00545,0.00263,0.1175,0.1575,EURUSD_63,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,32,19-Dec-11,19-Dec-11,0.145,-4.7019,1.5673,0.02182,-0.00544,0.00279,0.125,0.165,EURUSD_64,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,33,20-Dec-11,20-Dec-11,0.15,-4.8258,1.5527,0.02234,-0.00541,0.00295,0.13,0.17,EURUSD_65,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,34,21-Dec-11,21-Dec-11,0.155,-4.9419,1.5364,0.02282,-0.00538,0.0031,0.135,0.175,EURUSD_66,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,35,22-Dec-11,22-Dec-11,0.16,-5.0508,1.519,0.02327,-0.00534,0.00325,0.14,0.18,EURUSD_67,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,36,23-Dec-11,23-Dec-11,0.1675,-5.1519,1.5006,0.02369,-0.0053,0.0034,0.1475,0.1875,EURUSD_68,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,37,24-Dec-11,24-Dec-11,0.1675,-5.1757,1.4958,0.02403,-0.00518,0.00352,0.1475,0.1875,EURUSD_69,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,38,25-Dec-11,25-Dec-11,0.1725,-5.2384,1.4829,0.0244,-0.0051,0.00366,0.1525,0.1925,EURUSD_70,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,39,26-Dec-11,26-Dec-11,0.175,-5.3055,1.4681,0.02475,-0.00503,0.00379,0.155,0.195,EURUSD_71,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,40,27-Dec-11,27-Dec-11,0.18,-5.3687,1.4532,0.02508,-0.00496,0.00393,0.16,0.2,EURUSD_72,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,41,28-Dec-11,28-Dec-11,0.185,-5.449,1.4327,0.02539,-0.00491,0.00407,0.165,0.205,EURUSD_73,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,42,29-Dec-11,29-Dec-11,0.19,-5.5234,1.4122,0.02569,-0.00486,0.00421,0.17,0.21,EURUSD_74,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,43,30-Dec-11,30-Dec-11,0.1925,-5.5931,1.3914,0.02596,-0.00481,0.00435,0.1725,0.2125,EURUSD_75,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,44,31-Dec-11,31-Dec-11,0.195,-5.6094,1.3861,0.02624,-0.00471,0.00447,0.175,0.215,EURUSD_76,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,45,01-Jan-12,01-Jan-12,0.1975,-5.6517,1.3723,0.02651,-0.00464,0.0046,0.1775,0.2175,EURUSD_77,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,46,02-Jan-12,02-Jan-12,0.2,-5.6976,1.3567,0.02675,-0.00457,0.00473,0.18,0.22,EURUSD_78,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,47,03-Jan-12,03-Jan-12,0.205,-5.755,1.336,0.02696,-0.00452,0.00486,0.185,0.225,EURUSD_79,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,48,04-Jan-12,04-Jan-12,0.21,-5.8087,1.3153,0.02716,-0.00447,0.00499,0.19,0.23,EURUSD_80,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,49,05-Jan-12,05-Jan-12,0.2125,-5.8586,1.2949,0.02734,-0.00441,0.00511,0.1925,0.2325,EURUSD_81,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,50,06-Jan-12,06-Jan-12,0.2175,-5.9052,1.2746,0.0275,-0.00435,0.00524,0.1975,0.2375,EURUSD_82,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,51,07-Jan-12,07-Jan-12,0.2175,-5.9155,1.2696,0.02775,-0.00428,0.00536,0.1975,0.2375,EURUSD_83,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,52,08-Jan-12,08-Jan-12,0.22,-5.9458,1.2554,0.02793,-0.00421,0.00547,0.2,0.24,EURUSD_84,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,53,09-Jan-12,09-Jan-12,0.225,-5.986,1.2356,0.02806,-0.00416,0.00559,0.205,0.245,EURUSD_85,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,54,10-Jan-12,10-Jan-12,0.2275,-6.0233,1.2161,0.02819,-0.00411,0.00571,0.2075,0.2475,EURUSD_86,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,55,11-Jan-12,11-Jan-12,0.2325,-6.0578,1.197,0.0283,-0.00405,0.00583,0.2125,0.2525,EURUSD_87,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,56,12-Jan-12,12-Jan-12,0.235,-6.0898,1.1782,0.0284,-0.004,0.00594,0.215,0.255,EURUSD_88,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.25,,57,13-Jan-12,13-Jan-12,0.2375,-6.1192,1.1597,0.02849,-0.00395,0.00605,0.2175,0.2575,EURUSD_89,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,1,18-Nov-11,18-Nov-11,0.001,0,0,0,0,0,0,0.002,EURUSD_90,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,2,19-Nov-11,19-Nov-11,0.001,-0.00001,0.00006,0,0,0,0,0.002,EURUSD_91,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,3,20-Nov-11,20-Nov-11,0.0075,-0.00285,0.00962,0.00001,-0.00001,0,0,0.015,EURUSD_92,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,4,21-Nov-11,21-Nov-11,0.02515,-0.06583,0.1475,0.00025,-0.00025,0,0.0003,0.05,EURUSD_93,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,5,22-Nov-11,22-Nov-11,0.0283,-0.30006,0.50263,0.0011,-0.00121,0.00001,0.0016,0.055,EURUSD_94,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,6,23-Nov-11,23-Nov-11,0.03995,-0.72409,0.96818,0.0026,-0.00282,0.00004,0.0049,0.075,EURUSD_95,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,7,24-Nov-11,24-Nov-11,0.04375,-1.1613,1.3367,0.00417,-0.00417,0.00009,0.01,0.0775,EURUSD_96,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,8,25-Nov-11,25-Nov-11,0.04875,-1.7248,1.7096,0.00615,-0.00571,0.00017,0.015,0.0825,EURUSD_97,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,9,26-Nov-11,26-Nov-11,0.04875,-1.8708,1.7919,0.00695,-0.0056,0.00023,0.015,0.0825,EURUSD_98,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,10,27-Nov-11,27-Nov-11,0.05,-2.2911,2.0009,0.00856,-0.00631,0.00033,0.0175,0.0825,EURUSD_99,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,11,28-Nov-11,28-Nov-11,0.05125,-2.8637,2.2279,0.01059,-0.00731,0.00047,0.02,0.0825,EURUSD_100,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,12,29-Nov-11,29-Nov-11,0.06,-3.4097,2.3909,0.0125,-0.00808,0.00063,0.03,0.09,EURUSD_101,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,13,30-Nov-11,30-Nov-11,0.07,-3.9189,2.5005,0.01426,-0.00866,0.00081,0.04,0.1,EURUSD_102,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,14,01-Dec-11,01-Dec-11,0.08125,-4.386,2.5675,0.01586,-0.00906,0.00099,0.0525,0.11,EURUSD_103,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,15,02-Dec-11,02-Dec-11,0.0925,-4.8117,2.6012,0.01731,-0.00932,0.00118,0.065,0.12,EURUSD_104,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,16,03-Dec-11,03-Dec-11,0.09625,-4.9141,2.6059,0.01808,-0.00894,0.00131,0.07,0.1225,EURUSD_105,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,17,04-Dec-11,04-Dec-11,0.10375,-5.1891,2.6102,0.01916,-0.00891,0.00149,0.0775,0.13,EURUSD_106,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,18,05-Dec-11,05-Dec-11,0.115,-5.5372,2.5994,0.02032,-0.009,0.00169,0.09,0.14,EURUSD_107,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,19,06-Dec-11,06-Dec-11,0.125,-5.8458,2.5736,0.02134,-0.00902,0.00189,0.1,0.15,EURUSD_108,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,20,07-Dec-11,07-Dec-11,0.135,-6.1218,2.5372,0.02224,-0.00898,0.00208,0.11,0.16,EURUSD_109,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,21,08-Dec-11,08-Dec-11,0.14375,-6.3687,2.4932,0.02304,-0.0089,0.00228,0.12,0.1675,EURUSD_110,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,22,09-Dec-11,09-Dec-11,0.1525,-6.5888,2.4439,0.02374,-0.0088,0.00247,0.13,0.175,EURUSD_111,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,23,10-Dec-11,10-Dec-11,0.1575,-6.6387,2.431,0.0243,-0.00848,0.00262,0.135,0.18,EURUSD_112,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,24,11-Dec-11,11-Dec-11,0.1625,-6.7773,2.3928,0.02488,-0.00829,0.00279,0.14,0.185,EURUSD_113,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,25,12-Dec-11,12-Dec-11,0.17375,-6.9523,2.3378,0.02542,-0.00817,0.00298,0.1525,0.195,EURUSD_114,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,26,13-Dec-11,13-Dec-11,0.18125,-7.1087,2.2818,0.02589,-0.00803,0.00316,0.16,0.2025,EURUSD_115,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,27,14-Dec-11,14-Dec-11,0.19,-7.2479,2.2252,0.0263,-0.00788,0.00334,0.17,0.21,EURUSD_116,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,28,15-Dec-11,15-Dec-11,0.1975,-7.3718,2.1687,0.02666,-0.00773,0.00351,0.1775,0.2175,EURUSD_117,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,29,16-Dec-11,16-Dec-11,0.205,-7.4815,2.1128,0.02698,-0.00757,0.00367,0.185,0.225,EURUSD_118,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,30,17-Dec-11,17-Dec-11,0.2075,-7.5062,2.099,0.02739,-0.00734,0.00382,0.1875,0.2275,EURUSD_119,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,31,18-Dec-11,18-Dec-11,0.2125,-7.575,2.0595,0.0277,-0.00716,0.00398,0.1925,0.2325,EURUSD_120,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.27,,32,19-Dec-11,19-Dec-11,0.22,-7.6611,2.0057,0.02793,-0.00702,0.00414,0.2,0.24,EURUSD_121,0
