Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.6,,,1,02-Dec-11,02-Dec-11,0.98365,0.09574,-0.48367,-0.00018,0.00009,0,0,0,0.9675,0.9998,GBPJPY_17,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.7,,,1,02-Dec-11,02-Dec-11,0.9811,0.14564,-0.71114,-0.00026,0.00019,0,0,0,0.9625,0.9997,GBPJPY_18,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.8,,,1,02-Dec-11,02-Dec-11,0.97855,0.21834,-1.0292,-0.00038,0.00033,0,0,0,0.9575,0.9996,GBPJPY_19,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.9,,,1,02-Dec-11,02-Dec-11,0.9747,0.3226,-1.4662,-0.00054,0.00054,0,0,0,0.95,0.9994,GBPJPY_20,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119,,,1,02-Dec-11,02-Dec-11,0.96955,0.46977,-2.0558,-0.00076,0.00085,0,0,0,0.94,0.9991,GBPJPY_21,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.1,,,1,02-Dec-11,02-Dec-11,0.96555,0.67424,-2.837,-0.00105,0.0013,0,0,0,0.9325,0.9986,GBPJPY_22,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.2,,,1,02-Dec-11,02-Dec-11,0.9615,0.95383,-3.8526,-0.00142,0.00195,0,0,0,0.925,0.998,GBPJPY_23,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.3,,,1,02-Dec-11,02-Dec-11,0.9573,1.33,-5.1483,-0.0019,0.00285,0,0,0,0.9175,0.9971,GBPJPY_24,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.4,,,1,02-Dec-11,02-Dec-11,0.9529,1.8282,-6.7688,-0.0025,0.0041,0,0,0,0.91,0.9958,GBPJPY_25,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.5,,,1,02-Dec-11,02-Dec-11,0.94875,2.4771,-8.7549,-0.00323,0.00581,0,0,0,0.9025,0.995,GBPJPY_26,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.6,,,1,02-Dec-11,02-Dec-11,0.94375,3.3086,-11.14,-0.00411,0.00812,0,0,0,0.895,0.9925,GBPJPY_27,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.7,,,1,02-Dec-11,02-Dec-11,0.93875,4.3566,-13.93,-0.00515,0.01117,0,0,0,0.8875,0.99,GBPJPY_28,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.8,,,1,02-Dec-11,02-Dec-11,0.9275,5.6555,-17.14,-0.00633,0.01517,0,0,0,0.875,0.98,GBPJPY_29,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.9,,,1,02-Dec-11,02-Dec-11,0.92625,7.2381,-20.72,-0.00765,0.02034,0,0,0,0.8725,0.98,GBPJPY_30,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120,,,1,02-Dec-11,02-Dec-11,0.90625,9.1333,-24.62,-0.00909,0.0269,0,0,0,0.835,0.9775,GBPJPY_31,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120.1,,,1,02-Dec-11,02-Dec-11,0.905,11.36,-28.73,-0.01061,0.03514,0,0,0,0.835,0.975,GBPJPY_32,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120.2,,,1,02-Dec-11,02-Dec-11,0.9025,13.94,-32.92,-0.01216,0.04532,0,0,0,0.8325,0.9725,GBPJPY_33,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120.3,,,1,02-Dec-11,02-Dec-11,0.90125,16.86,-37,-0.01366,0.05774,0,0,0,0.8325,0.97,GBPJPY_34,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120.4,,,1,02-Dec-11,02-Dec-11,0.8925,20.11,-40.77,-0.01506,0.07268,0,0,0,0.8175,0.9675,GBPJPY_35,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120.5,,,1,02-Dec-11,02-Dec-11,0.8825,23.65,-44.01,-0.01626,0.09038,0,0,0,0.8025,0.9625,GBPJPY_36,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120.6,,,1,02-Dec-11,02-Dec-11,0.8725,27.43,-46.48,-0.01717,0.11108,0,0,0,0.7875,0.9575,GBPJPY_37,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120.7,,,1,02-Dec-11,02-Dec-11,0.86125,31.38,-47.94,-0.0177,0.13495,0,0,0,0.7725,0.95,GBPJPY_38,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120.8,,,1,02-Dec-11,02-Dec-11,0.84875,35.39,-48.19,-0.0178,0.1621,0,0,0,0.755,0.9425,GBPJPY_39,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120.9,,,1,02-Dec-11,02-Dec-11,0.82125,39.37,-47.07,-0.01738,0.19254,0,0,0,0.7225,0.92,GBPJPY_40,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121,,,1,02-Dec-11,02-Dec-11,0.78875,43.2,-44.47,-0.01642,0.22621,0,0,0,0.6875,0.89,GBPJPY_41,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121.1,,,1,02-Dec-11,02-Dec-11,0.7525,46.76,-40.37,-0.01491,0.26295,0,0,0,0.6475,0.8575,GBPJPY_42,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121.2,,,1,02-Dec-11,02-Dec-11,0.71,49.91,-34.82,-0.01286,0.30248,0,0,0,0.6025,0.8175,GBPJPY_43,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121.3,,,1,02-Dec-11,02-Dec-11,0.66375,52.55,-27.95,-0.01032,0.34443,0,0,0,0.555,0.7725,GBPJPY_44,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121.4,,,1,02-Dec-11,02-Dec-11,0.61625,54.57,-20,-0.00739,0.38836,0,0,0,0.505,0.7275,GBPJPY_45,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121.5,,,1,02-Dec-11,02-Dec-11,0.56625,55.91,-11.25,-0.00415,0.43372,0,0,0,0.455,0.6775,GBPJPY_46,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121.6,,,1,02-Dec-11,02-Dec-11,0.515,56.5,-2.0313,-0.00075,0.47993,0,0,0,0.405,0.625,GBPJPY_47,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121.7,,,1,02-Dec-11,02-Dec-11,0.46375,56.33,7.2745,0.00269,-0.47355,0,0,0,0.355,0.5725,GBPJPY_48,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121.8,,,1,02-Dec-11,02-Dec-11,0.41375,55.41,16.29,0.00602,-0.42749,0,0,0,0.3075,0.52,GBPJPY_49,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121.9,,,1,02-Dec-11,02-Dec-11,0.3675,53.77,24.67,0.00911,-0.38245,0,0,0,0.2625,0.4725,GBPJPY_50,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,122,,,1,02-Dec-11,02-Dec-11,0.32375,51.48,32.1,0.01186,-0.33897,0,0,0,0.2225,0.425,GBPJPY_51,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,122.1,,,1,02-Dec-11,02-Dec-11,0.285,48.62,38.32,0.01415,-0.29757,0,0,0,0.1875,0.3825,GBPJPY_52,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,122.2,,,1,02-Dec-11,02-Dec-11,0.2475,45.32,43.16,0.01594,-0.25868,0,0,0,0.155,0.34,GBPJPY_53,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,122.3,,,1,02-Dec-11,02-Dec-11,0.20125,41.67,46.54,0.01719,-0.22263,0,0,0,0.1125,0.29,GBPJPY_54,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,122.4,,,1,02-Dec-11,02-Dec-11,0.14625,37.81,48.44,0.01789,-0.18966,0,0,0,0.0625,0.23,GBPJPY_55,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,122.5,,,1,02-Dec-11,02-Dec-11,0.13,33.86,48.92,0.01807,-0.15989,0,0,0,0.05,0.21,GBPJPY_56,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,122.6,,,1,02-Dec-11,02-Dec-11,0.11875,29.92,48.13,0.01778,-0.13338,0,0,0,0.045,0.1925,GBPJPY_57,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,122.7,,,1,02-Dec-11,02-Dec-11,0.10875,26.09,46.24,0.01708,-0.11008,0,0,0,0.04,0.1775,GBPJPY_58,0
