Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,123.7,,5,06-Dec-11,06-Dec-11,0.21625,27.9,23.84,0.0392,-0.05054,-0.00055,0,0,0.1575,0.275,GBPJPY_369,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,124,,5,06-Dec-11,06-Dec-11,0.16,22.4,21.89,0.036,-0.04527,-0.00046,0,0,0.105,0.215,GBPJPY_370,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,124.3,,5,06-Dec-11,06-Dec-11,0.11875,17.47,19.21,0.0316,-0.03862,-0.00038,0,0,0.0675,0.17,GBPJPY_371,1
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,118,,5,06-Dec-11,06-Dec-11,0.9375,5.4447,-8.3364,-0.01372,0.01491,-0.00015,0,0,0.8975,0.9775,GBPJPY_372,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,118.3,,5,06-Dec-11,06-Dec-11,0.93,7.9221,-11.11,-0.01829,0.02073,-0.00021,0,0,0.8875,0.9725,GBPJPY_373,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,118.6,,5,06-Dec-11,06-Dec-11,0.9225,11.15,-14.21,-0.02339,0.02756,-0.00028,0,0,0.8775,0.9675,GBPJPY_374,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,118.9,,5,06-Dec-11,06-Dec-11,0.8975,15.18,-17.41,-0.02866,0.035,-0.00035,0,0,0.8475,0.9475,GBPJPY_375,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,119.2,,5,06-Dec-11,06-Dec-11,0.85875,19.99,-20.38,-0.03356,0.04235,-0.00044,0,0,0.805,0.9125,GBPJPY_376,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,119.5,,5,06-Dec-11,06-Dec-11,0.8025,25.48,-22.75,-0.03747,0.04868,-0.00053,0,0,0.745,0.86,GBPJPY_377,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,119.8,,5,06-Dec-11,06-Dec-11,0.73625,31.45,-24.1,-0.03969,0.05293,-0.00061,0,0,0.675,0.7975,GBPJPY_378,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,120.1,,5,06-Dec-11,06-Dec-11,0.66375,37.59,-24.05,-0.03963,0.05405,-0.00066,0,0,0.6,0.7275,GBPJPY_379,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,120.4,,5,06-Dec-11,06-Dec-11,0.5675,43.52,-22.36,-0.03687,0.05124,-0.00068,0,0,0.5025,0.6325,GBPJPY_380,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,120.7,,5,06-Dec-11,06-Dec-11,0.4575,48.81,-18.95,-0.03129,0.04415,-0.00064,0,0,0.3925,0.5225,GBPJPY_381,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,121,,5,06-Dec-11,06-Dec-11,0.335,53.05,-13.96,-0.02311,0.033,-0.00053,0,0,0.2725,0.3975,GBPJPY_382,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,121.3,,5,06-Dec-11,06-Dec-11,0.21,55.9,-7.7397,-0.0129,0.01858,-0.00033,0,0,0.1525,0.2675,GBPJPY_383,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,121.6,,5,06-Dec-11,06-Dec-11,0.05875,57.1,-0.813,-0.00155,0.00224,-0.00005,0,0,0.015,0.1025,GBPJPY_384,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,121.9,,5,06-Dec-11,06-Dec-11,0.1625,-55.8,-6.1906,-0.01001,0.01392,0.00026,0,0,0.1075,0.2175,GBPJPY_385,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,122.2,,5,06-Dec-11,06-Dec-11,0.285,-53.6,-12.64,-0.02067,0.02866,0.00047,0,0,0.225,0.345,GBPJPY_386,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,122.5,,5,06-Dec-11,06-Dec-11,0.41625,-49.95,-18,-0.02951,0.04064,0.00059,0,0,0.3525,0.48,GBPJPY_387,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,122.8,,5,06-Dec-11,06-Dec-11,0.52875,-45.16,-21.87,-0.03592,0.04893,0.00064,0,0,0.4625,0.595,GBPJPY_388,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,123.1,,5,06-Dec-11,06-Dec-11,0.62875,-39.62,-24.09,-0.03959,0.05315,0.00064,0,0,0.565,0.6925,GBPJPY_389,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,123.4,,5,06-Dec-11,06-Dec-11,0.71375,-33.74,-24.68,-0.04057,0.05348,0.00059,0,0,0.6525,0.775,GBPJPY_390,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,123.7,,5,06-Dec-11,06-Dec-11,0.78375,-27.9,-23.84,-0.0392,0.05056,0.00052,0,0,0.725,0.8425,GBPJPY_391,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,124,,5,06-Dec-11,06-Dec-11,0.84,-22.4,-21.89,-0.036,0.04528,0.00044,0,0,0.785,0.895,GBPJPY_392,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,124.3,,5,06-Dec-11,06-Dec-11,0.88125,-17.47,-19.21,-0.0316,0.03864,0.00035,0,0,0.83,0.9325,GBPJPY_393,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,121,122.5,5,06-Dec-11,06-Dec-11,0.046,0.1167,-1.3047,-0.00215,0.00525,0,0,0,0.002,0.09,GBPJPY_394,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,120.7,122.5,5,06-Dec-11,06-Dec-11,0.09375,-0.24349,-6.6618,-0.01096,0.02124,0,0,0,0.035,0.1525,GBPJPY_395,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,120.4,122.5,5,06-Dec-11,06-Dec-11,0.16875,-2.5548,-15.41,-0.02535,0.04293,0.00001,0,0,0.1025,0.235,GBPJPY_396,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,120.1,122.5,5,06-Dec-11,06-Dec-11,0.2225,-7.3368,-23.88,-0.03927,0.06111,0.00004,0,0,0.1525,0.2925,GBPJPY_397,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,119.8,122.5,5,06-Dec-11,06-Dec-11,0.25125,-13.78,-29.71,-0.04886,0.07178,0.00008,0,0,0.18,0.3225,GBPJPY_398,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,119.5,122.5,5,06-Dec-11,06-Dec-11,0.2825,-20.74,-32.54,-0.0535,0.07545,0.00014,0,0,0.21,0.355,GBPJPY_399,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,119.2,122.5,5,06-Dec-11,06-Dec-11,0.31,-27.31,-32.99,-0.05422,0.07422,0.00022,0,0,0.235,0.385,GBPJPY_400,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,118.9,122.5,5,06-Dec-11,06-Dec-11,0.335,-33.02,-31.9,-0.05241,0.07015,0.00029,0,0,0.26,0.41,GBPJPY_401,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,118.6,122.5,5,06-Dec-11,06-Dec-11,0.35375,-37.71,-29.96,-0.04921,0.06483,0.00036,0,0,0.2775,0.43,GBPJPY_402,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,118.3,122.5,5,06-Dec-11,06-Dec-11,0.36875,-41.37,-27.71,-0.0455,0.05936,0.00042,0,0,0.2925,0.445,GBPJPY_403,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,118,122.5,5,06-Dec-11,06-Dec-11,0.38125,-44.13,-25.48,-0.04184,0.05439,0.00047,0,0,0.305,0.4575,GBPJPY_404,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,117.7,122.5,5,06-Dec-11,06-Dec-11,0.39,-46.12,-23.51,-0.03858,0.05026,0.00051,0,0,0.3125,0.4675,GBPJPY_405,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,117.4,122.5,5,06-Dec-11,06-Dec-11,0.39625,-47.51,-21.87,-0.03589,0.04707,0.00054,0,0,0.32,0.4725,GBPJPY_406,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,117.1,122.5,5,06-Dec-11,06-Dec-11,0.40125,-48.45,-20.61,-0.03382,0.04475,0.00056,0,0,0.325,0.4775,GBPJPY_407,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,116.8,122.5,5,06-Dec-11,06-Dec-11,0.40375,-49.05,-19.69,-0.0323,0.04316,0.00057,0,0,0.3275,0.48,GBPJPY_408,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,116.5,122.5,5,06-Dec-11,06-Dec-11,0.405,-49.43,-19.05,-0.03124,0.04212,0.00058,0,0,0.33,0.48,GBPJPY_409,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,116.2,122.5,5,06-Dec-11,06-Dec-11,0.405,-49.66,-18.63,-0.03055,0.04147,0.00058,0,0,0.33,0.48,GBPJPY_410,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,115.9,122.5,5,06-Dec-11,06-Dec-11,0.40625,-49.79,-18.36,-0.03011,0.04109,0.00059,0,0,0.3325,0.48,GBPJPY_411,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118,,,7,08-Dec-11,08-Dec-11,0.93375,4.9208,-4.9725,-0.01187,0.01048,-0.00048,0,0,0.8925,0.975,GBPJPY_412,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.3,,,7,08-Dec-11,08-Dec-11,0.93,6.3075,-5.8351,-0.01393,0.01257,-0.00059,0,0,0.8875,0.9725,GBPJPY_413,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.6,,,7,08-Dec-11,08-Dec-11,0.9225,7.9073,-6.6414,-0.01586,0.0146,-0.00072,0,0,0.8775,0.9675,GBPJPY_414,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.9,,,7,08-Dec-11,08-Dec-11,0.90875,9.6965,-7.3201,-0.01748,0.01641,-0.00086,0,0,0.8625,0.955,GBPJPY_415,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.2,,,7,08-Dec-11,08-Dec-11,0.88625,11.63,-7.7959,-0.01861,0.0178,-0.00102,0,0,0.8375,0.935,GBPJPY_416,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.5,,,7,08-Dec-11,08-Dec-11,0.85875,13.66,-7.9969,-0.01909,0.01857,-0.00118,0,0,0.8075,0.91,GBPJPY_417,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,119.8,,,7,08-Dec-11,08-Dec-11,0.82625,15.69,-7.864,-0.01878,0.01857,-0.00135,0,0,0.7725,0.88,GBPJPY_418,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120.1,,,7,08-Dec-11,08-Dec-11,0.79,17.64,-7.3588,-0.01757,0.01766,-0.00151,0,0,0.735,0.845,GBPJPY_419,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120.4,,,7,08-Dec-11,08-Dec-11,0.74625,19.42,-6.4711,-0.01545,0.01581,-0.00165,0,0,0.69,0.8025,GBPJPY_420,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,120.7,,,7,08-Dec-11,08-Dec-11,0.69625,20.93,-5.2226,-0.01247,0.01304,-0.00177,0,0,0.6375,0.755,GBPJPY_421,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121,,,7,08-Dec-11,08-Dec-11,0.63875,22.1,-3.6674,-0.00876,0.00947,-0.00186,0,0,0.58,0.6975,GBPJPY_422,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121.3,,,7,08-Dec-11,08-Dec-11,0.57875,22.84,-1.8885,-0.00451,0.0053,-0.00192,0,0,0.52,0.6375,GBPJPY_423,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121.6,,,7,08-Dec-11,08-Dec-11,0.515,23.13,0.00977,0.00002,0.0008,-0.00194,0,0,0.455,0.575,GBPJPY_424,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,121.9,,,7,08-Dec-11,08-Dec-11,0.45125,22.95,1.9123,0.00457,-0.00374,-0.00193,0,0,0.3925,0.51,GBPJPY_425,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,122.2,,,7,08-Dec-11,08-Dec-11,0.38875,22.32,3.7043,0.00884,-0.00802,-0.00187,0,0,0.33,0.4475,GBPJPY_426,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,122.5,,,7,08-Dec-11,08-Dec-11,0.33125,21.26,5.2831,0.01261,-0.01178,-0.00178,0,0,0.275,0.3875,GBPJPY_427,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,122.8,,,7,08-Dec-11,08-Dec-11,0.27875,19.86,6.5677,0.01568,-0.01481,-0.00166,0,0,0.2225,0.335,GBPJPY_428,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,123.1,,,7,08-Dec-11,08-Dec-11,0.23375,18.18,7.5048,0.01792,-0.01698,-0.00152,0,0,0.18,0.2875,GBPJPY_429,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,123.4,,,7,08-Dec-11,08-Dec-11,0.195,16.32,8.0725,0.01927,-0.01824,-0.00137,0,0,0.1425,0.2475,GBPJPY_430,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,123.7,,,7,08-Dec-11,08-Dec-11,0.16,14.36,8.2784,0.01977,-0.01862,-0.0012,0,0,0.11,0.21,GBPJPY_431,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,124,,,7,08-Dec-11,08-Dec-11,0.13,12.4,8.1565,0.01947,-0.0182,-0.00104,0,0,0.0825,0.1775,GBPJPY_432,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,124.3,,,7,08-Dec-11,08-Dec-11,0.10375,10.5,7.7596,0.01853,-0.01715,-0.00088,0,0,0.0575,0.15,GBPJPY_433,0
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,118,,7,08-Dec-11,08-Dec-11,0.08125,-9.7374,9.8859,0.02362,-0.02096,0.00065,0,0,0.04,0.1225,GBPJPY_434,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,118.3,,7,08-Dec-11,08-Dec-11,0.105,-12.5,11.62,0.02777,-0.02515,0.00081,0,0,0.0625,0.1475,GBPJPY_435,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,118.6,,7,08-Dec-11,08-Dec-11,0.13625,-15.69,13.25,0.03168,-0.02922,0.00098,0,0,0.09,0.1825,GBPJPY_436,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,118.9,,7,08-Dec-11,08-Dec-11,0.18,-19.26,14.63,0.03499,-0.03284,0.00115,0,0,0.1325,0.2275,GBPJPY_437,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,119.2,,7,08-Dec-11,08-Dec-11,0.23,-23.13,15.62,0.03737,-0.03561,0.00132,0,0,0.18,0.28,GBPJPY_438,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,119.5,,7,08-Dec-11,08-Dec-11,0.28125,-27.19,16.06,0.03845,-0.03715,0.00146,0,0,0.23,0.3325,GBPJPY_439,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,119.8,,7,08-Dec-11,08-Dec-11,0.34875,-31.28,15.84,0.03796,-0.03713,0.00155,0,0,0.295,0.4025,GBPJPY_440,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,120.1,,7,08-Dec-11,08-Dec-11,0.42875,-35.22,14.88,0.0357,-0.0353,0.00158,0,0,0.375,0.4825,GBPJPY_441,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,120.4,,7,08-Dec-11,08-Dec-11,0.51625,-38.83,13.15,0.03162,-0.03156,0.00152,0,0,0.4625,0.57,GBPJPY_442,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,120.7,,7,08-Dec-11,08-Dec-11,0.61375,-41.91,10.7,0.02582,-0.02596,0.00135,0,0,0.56,0.6675,GBPJPY_443,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,121,,7,08-Dec-11,08-Dec-11,0.71375,-44.3,7.623,0.01854,-0.01875,0.00105,0,0,0.6625,0.765,GBPJPY_444,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,121.3,,7,08-Dec-11,08-Dec-11,0.815,-45.87,4.0876,0.01017,-0.01033,0.0006,0,0,0.7675,0.8625,GBPJPY_445,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,121.6,,7,08-Dec-11,08-Dec-11,0.9425,-46.53,0.29951,0.00121,-0.00122,0.00001,0,0,0.905,0.98,GBPJPY_446,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,121.9,,7,08-Dec-11,08-Dec-11,0.86,45.7,3.5088,0.00795,-0.00774,-0.0006,0,0,0.815,0.905,GBPJPY_447,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,122.2,,7,08-Dec-11,08-Dec-11,0.7575,44.5,7.1125,0.01663,-0.01622,-0.00107,0,0,0.7075,0.8075,GBPJPY_448,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,122.5,,7,08-Dec-11,08-Dec-11,0.6575,42.46,10.3,0.02431,-0.02366,-0.00138,0,0,0.605,0.71,GBPJPY_449,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,122.8,,7,08-Dec-11,08-Dec-11,0.5525,39.71,12.91,0.0306,-0.02967,-0.00157,0,0,0.4975,0.6075,GBPJPY_450,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,123.1,,7,08-Dec-11,08-Dec-11,0.4625,36.41,14.83,0.03523,-0.03397,-0.00165,0,0,0.4075,0.5175,GBPJPY_451,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,123.4,,7,08-Dec-11,08-Dec-11,0.38125,32.72,16.02,0.0381,-0.03646,-0.00164,0,0,0.3275,0.435,GBPJPY_452,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,123.7,,7,08-Dec-11,08-Dec-11,0.31,28.84,16.47,0.03922,-0.03719,-0.00156,0,0,0.2575,0.3625,GBPJPY_453,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,124,,7,08-Dec-11,08-Dec-11,0.2475,24.92,16.27,0.03877,-0.03636,-0.00143,0,0,0.1975,0.2975,GBPJPY_454,1
01-Dec-11,GBPJPY,GBP,JPY,OT,,121.64,,124.3,,7,08-Dec-11,08-Dec-11,0.19625,21.13,15.51,0.03698,-0.03425,-0.00128,0,0,0.1475,0.245,GBPJPY_455,1
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,118,,7,08-Dec-11,08-Dec-11,0.91875,9.7374,-9.8859,-0.02362,0.02098,-0.00073,0,0,0.8775,0.96,GBPJPY_456,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,118.3,,7,08-Dec-11,08-Dec-11,0.895,12.5,-11.62,-0.02777,0.02516,-0.00089,0,0,0.8525,0.9375,GBPJPY_457,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,118.6,,7,08-Dec-11,08-Dec-11,0.86375,15.69,-13.25,-0.03168,0.02924,-0.00106,0,0,0.8175,0.91,GBPJPY_458,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,118.9,,7,08-Dec-11,08-Dec-11,0.82,19.26,-14.63,-0.03499,0.03285,-0.00124,0,0,0.7725,0.8675,GBPJPY_459,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,119.2,,7,08-Dec-11,08-Dec-11,0.77,23.13,-15.62,-0.03737,0.03563,-0.0014,0,0,0.72,0.82,GBPJPY_460,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,119.5,,7,08-Dec-11,08-Dec-11,0.71875,27.19,-16.06,-0.03845,0.03717,-0.00154,0,0,0.6675,0.77,GBPJPY_461,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,119.8,,7,08-Dec-11,08-Dec-11,0.65125,31.28,-15.84,-0.03796,0.03715,-0.00164,0,0,0.5975,0.705,GBPJPY_462,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,120.1,,7,08-Dec-11,08-Dec-11,0.57125,35.22,-14.88,-0.0357,0.03532,-0.00166,0,0,0.5175,0.625,GBPJPY_463,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,120.4,,7,08-Dec-11,08-Dec-11,0.4825,38.83,-13.15,-0.03162,0.03157,-0.0016,0,0,0.4275,0.5375,GBPJPY_464,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,120.7,,7,08-Dec-11,08-Dec-11,0.38625,41.91,-10.7,-0.02582,0.02598,-0.00143,0,0,0.3325,0.44,GBPJPY_465,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,121,,7,08-Dec-11,08-Dec-11,0.28625,44.3,-7.623,-0.01854,0.01877,-0.00113,0,0,0.235,0.3375,GBPJPY_466,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,121.3,,7,08-Dec-11,08-Dec-11,0.185,45.87,-4.0876,-0.01017,0.01035,-0.00069,0,0,0.1375,0.2325,GBPJPY_467,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,121.6,,7,08-Dec-11,08-Dec-11,0.0525,46.53,-0.29951,-0.00121,0.00124,-0.00009,0,0,0.015,0.09,GBPJPY_468,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,121.9,,7,08-Dec-11,08-Dec-11,0.14,-45.7,-3.5088,-0.00795,0.00776,0.00052,0,0,0.095,0.185,GBPJPY_469,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,122.2,,7,08-Dec-11,08-Dec-11,0.2425,-44.5,-7.1125,-0.01663,0.01623,0.00098,0,0,0.1925,0.2925,GBPJPY_470,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,122.5,,7,08-Dec-11,08-Dec-11,0.3425,-42.46,-10.3,-0.02431,0.02368,0.0013,0,0,0.29,0.395,GBPJPY_471,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,122.8,,7,08-Dec-11,08-Dec-11,0.4475,-39.71,-12.91,-0.0306,0.02969,0.00149,0,0,0.3925,0.5025,GBPJPY_472,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,123.1,,7,08-Dec-11,08-Dec-11,0.5375,-36.41,-14.83,-0.03523,0.03399,0.00157,0,0,0.4825,0.5925,GBPJPY_473,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,123.4,,7,08-Dec-11,08-Dec-11,0.61875,-32.72,-16.02,-0.0381,0.03647,0.00156,0,0,0.565,0.6725,GBPJPY_474,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,123.7,,7,08-Dec-11,08-Dec-11,0.69,-28.84,-16.47,-0.03922,0.03721,0.00148,0,0,0.6375,0.7425,GBPJPY_475,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,124,,7,08-Dec-11,08-Dec-11,0.7525,-24.92,-16.27,-0.03877,0.03638,0.00135,0,0,0.7025,0.8025,GBPJPY_476,0
01-Dec-11,GBPJPY,GBP,JPY,NT,,121.64,,124.3,,7,08-Dec-11,08-Dec-11,0.80375,-21.13,-15.51,-0.03698,0.03427,0.00119,0,0,0.755,0.8525,GBPJPY_477,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,121,122.5,7,08-Dec-11,08-Dec-11,0.0011,0.00459,-0.05125,-0.00012,0.00031,0,0,0,0,0.0022,GBPJPY_478,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,120.7,122.5,7,08-Dec-11,08-Dec-11,0.0408,-0.02569,-0.70775,-0.00169,0.00252,0,0,0,0.0016,0.08,GBPJPY_479,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,120.4,122.5,7,08-Dec-11,08-Dec-11,0.065,-0.49304,-2.9804,-0.00711,0.00916,0,0,0,0.0175,0.1125,GBPJPY_480,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,120.1,122.5,7,08-Dec-11,08-Dec-11,0.1275,-2.0892,-6.8143,-0.01625,0.0191,0.00002,0,0,0.0725,0.1825,GBPJPY_481,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,119.8,122.5,7,08-Dec-11,08-Dec-11,0.175,-5.1225,-11.07,-0.02638,0.02915,0.00006,0,0,0.1175,0.2325,GBPJPY_482,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,119.5,122.5,7,08-Dec-11,08-Dec-11,0.20375,-9.32,-14.66,-0.03493,0.03696,0.00013,0,0,0.145,0.2625,GBPJPY_483,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,119.2,122.5,7,08-Dec-11,08-Dec-11,0.2225,-14.13,-17.11,-0.04073,0.04174,0.00023,0,0,0.1625,0.2825,GBPJPY_484,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,118.9,122.5,7,08-Dec-11,08-Dec-11,0.24375,-19.01,-18.4,-0.04378,0.04377,0.00035,0,0,0.1825,0.305,GBPJPY_485,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,118.6,122.5,7,08-Dec-11,08-Dec-11,0.26125,-23.59,-18.75,-0.04457,0.04372,0.00048,0,0,0.2,0.3225,GBPJPY_486,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,118.3,122.5,7,08-Dec-11,08-Dec-11,0.2775,-27.65,-18.42,-0.04377,0.04228,0.00061,0,0,0.215,0.34,GBPJPY_487,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,118,122.5,7,08-Dec-11,08-Dec-11,0.29,-31.1,-17.67,-0.04195,0.04005,0.00074,0,0,0.2275,0.3525,GBPJPY_488,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,117.7,122.5,7,08-Dec-11,08-Dec-11,0.3025,-33.94,-16.69,-0.03959,0.03746,0.00086,0,0,0.24,0.365,GBPJPY_489,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,117.4,122.5,7,08-Dec-11,08-Dec-11,0.3125,-36.2,-15.63,-0.03705,0.03484,0.00096,0,0,0.25,0.375,GBPJPY_490,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,117.1,122.5,7,08-Dec-11,08-Dec-11,0.32,-37.97,-14.59,-0.03456,0.03241,0.00105,0,0,0.2575,0.3825,GBPJPY_491,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,116.8,122.5,7,08-Dec-11,08-Dec-11,0.32625,-39.3,-13.64,-0.0323,0.03028,0.00111,0,0,0.2625,0.39,GBPJPY_492,0
01-Dec-11,GBPJPY,GBP,JPY,DNT,,121.64,,116.5,122.5,7,08-Dec-11,08-Dec-11,0.33125,-40.29,-12.83,-0.03034,0.02852,0.00117,0,0,0.2675,0.395,GBPJPY_493,0
