DATE,31-Oct-13,,,,,,,,,,,,,,,,,,,,,
TIME,13:30 GMT,,,,,,,,,,,,,,,,,,,,,
FILE,SD_FCHI,,,,,,,,,,,,,,,,,,,,,
UNDERLYING,FCHI,,,,,,,,,,,,,,,,,,,,,
SPOT,4274.11,,,,,,,,,,,,,,,,,,,,,
CURRENCY,EUR,,,,,,,,,,,,,,,,,,,,,
SABR PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
atmvolshort,0.1243407,,,,,,,,,,,,,,,,,,skewwingR,skewwingR,0.4150607187,
atmvol1year,0.1684369,,,,,,,,,,,,,,,,,,0,0,0.1458731798,
atmvolLong,0.1811253,,,,,,,,,,,,,,,,,,0,0,0.6701669485,
atmWingL,1.5087677,,,,,,,,,,,,,,,,,,0,0,0.0936594857,
atmWingR,5.0105625,,,,,,,,,,,,,,,,,,0,0,0.2440877648,
skewshort,-0.1001701,,,,,,,,,,,,,,,,,,0,0,-0.4698189229,
skew1year,-0.1836769,,,,,,,,,,,,,,,,,,0,0,-0.0059745143,
skewlong,-0.1590782,,,,,,,,,,,,,,,,,,0,0,15.4904341212,
skewwingL,3.43338,,,,,,,,,,,,,,,,,,0,0,0.1670171809,
skewwingR,2.5441399,,,,,,,,,,,,,,,,,,0,0,0.9735176315,
kurtosisshort,0.2447422,,,,,,,,,,,,,,,,,,0,0,19.8328220696,
kurtosislong,-0.4046181,,,,,,,,,,,,,,,,,,0,0,-0.2874325608,
kurtosisgrowth,0.1254112,,,,,,,,,,,,,,0,0,1.2954141665,,,,,
END SABR PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
VOL SURFACE STANDARD DATES,,,,,,,,,,,,,,,,,,,,,,
,%ATMS,80%,82%,84%,86%,88%,90%,92%,94%,96%,98%,100%,102%,104%,106%,108%,110%,112%,114%,116%,118%,120%
Term,Strike,3419.288,3504.7702,3590.2524,3675.7346,3761.2168,3846.699,3932.1812,4017.6634,4103.1456,4188.6278,4274.11,4359.5922,4445.0744,4530.5566,4616.0388,4701.521,4787.0032,4872.4854,4957.9676,5043.4498,5128.932
7-Nov-13,,32.030901462,29.9005933977,27.5878643808,25.3528054846,23.3216242855,21.4866448634,19.8034262986,18.1037517588,16.2016385875,14.2142016653,12.5616534101,11.6011147011,11.3846276488,11.8818606324,12.9220891382,14.1941957594,15.4318746472,16.572482341,17.6051222839,18.5380179797,19.3985129925
29-Nov-13,,26.3701686211,25.0351210268,23.6843788613,22.3529310648,21.0477213159,19.7524700332,18.4483231643,17.1092170797,15.7136853284,14.3292681548,13.1037288718,12.1709835418,11.6329371771,11.5832241706,11.9691272718,12.5864371448,13.2548891723,13.9348283691,14.6227158304,15.3125803232,15.9960565183
31-Dec-13,,23.6336405683,22.699962916,21.7847529407,20.8350140263,19.8281243707,18.7717660518,17.6766654806,16.5602574072,15.4421356385,14.3561238898,13.3504158554,12.4836312903,11.8536765333,11.5636318143,11.6077241628,11.8700445102,12.2442238504,12.6873341085,13.1734546162,13.6876173842,14.2252846763
31-Jan-14,,22.9511847915,22.1305601637,21.292347138,20.4137892221,19.4954586383,18.5610263725,17.630661701,16.7070394802,15.7893053535,14.8943518392,14.0563419592,13.3137907563,12.7218543953,12.3379348176,12.1728153609,12.1901265286,12.350006618,12.6096301499,12.9253469793,13.2735211662,13.6518568042
30-Apr-14,,22.1904691352,21.5007080614,20.8089891361,20.1191549559,19.4325033996,18.7477867491,18.0653054531,17.3920022373,16.7365844068,16.1101049555,15.5259604487,14.9977195288,14.5392344603,14.1640359563,13.8766901163,13.6727998632,13.5484737083,13.5033991333,13.5376580067,13.6397761305,13.7867188966
31-Jul-14,,21.7567504357,21.1811969779,20.6115974146,20.0433532369,19.4735883067,18.9012138385,18.3273984037,17.7618110871,17.2161431744,16.7006388592,16.224112569,15.7951511027,15.421729192,15.1112265512,14.8606498814,14.6566404292,14.4880999695,14.3547079512,14.2589302364,14.2031001496,14.1891905243
31-Oct-14,,21.6373347202,21.0651219558,20.4921411489,19.9013096896,19.2902085729,18.6710839381,18.0548027862,17.4441550754,16.8405283477,16.2596264596,15.7314826156,15.2821620584,14.9154914924,14.6200987959,14.3822271471,14.1809875808,13.9985814914,13.830812085,13.6773278391,13.5480080621,13.4629628932
30-Apr-15,,21.6219794062,21.1478680909,20.6705688292,20.1675766373,19.6386023776,19.1055709554,18.5876915548,18.0894525779,17.6118181212,17.1593388084,16.7401511213,16.3625051961,16.0344862277,15.7638429527,15.5515437287,15.3917776408,15.2777317316,15.1997598287,15.1476771598,15.1152019786,15.0999556387
30-Oct-15,,21.8887827429,21.4820020248,21.0817051431,20.6745197843,20.2600392143,19.8508211805,19.4577515269,19.0827771618,18.7256856133,18.3879957016,18.0729573816,17.7837212328,17.5227400483,17.292224116,17.0928183266,16.9236023553,16.7827544868,16.6651184244,16.5647914364,16.4778791912,16.4024958934
31-Oct-16,,21.59,21.2624608689,20.9451573853,20.6370394934,20.3382250851,20.05,19.7734104807,19.508341261,19.2544011059,19.0115301705,18.78,18.5599258605,18.3507402687,18.1516959897,17.9618373024,17.78,17.6054715658,17.4393825012,17.2832627496,17.1372320626,17
31-Oct-17,,21.6463788476,21.370570442,21.1030043586,20.8427080203,20.5897951645,20.3454652122,20.1107291184,19.8856575566,19.6700774866,19.4635927366,19.265580715,19.0755466677,18.8935607382,18.7197989529,18.5535388314,18.3931561749,18.2376917176,18.0890077831,17.9495720878,17.8194988389,17.696545778
