Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.942,,,1,03-Dec-11,03-Dec-11,0.03005,0.02813,0.14984,0.00006,0.00301,0,0,0,0.0001,0.06,USDCHF_19,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.946,,,1,03-Dec-11,03-Dec-11,0.02875,0.0025,0.01529,0.00001,0.00081,0,0,0,0,0.0575,USDCHF_20,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.95,,,1,03-Dec-11,03-Dec-11,0.01,0.00016,0.00111,0,0.00019,0,0,0,0,0.02,USDCHF_21,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.954,,,1,03-Dec-11,03-Dec-11,0.00115,0.00001,0.00006,0,0.00004,0,0,0,0,0.0023,USDCHF_22,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.871,,,1,03-Dec-11,03-Dec-11,0.00115,0,0,0,0,0,0,0,0,0.0023,USDCHF_23,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.875,,,1,03-Dec-11,03-Dec-11,0.00115,0,0,0,0.00001,0,0,0,0,0.0023,USDCHF_24,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.879,,,1,03-Dec-11,03-Dec-11,0.00115,-0.00001,0.00008,0,0.00004,0,0,0,0,0.0023,USDCHF_25,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.883,,,1,03-Dec-11,03-Dec-11,0.00115,-0.00026,0.00177,0,0.00022,0,0,0,0,0.0023,USDCHF_26,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.887,,,1,03-Dec-11,03-Dec-11,0.00135,-0.0046,0.02719,0.00001,0.00105,0,0,0,0,0.0027,USDCHF_27,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.891,,,1,03-Dec-11,03-Dec-11,0.0338,-0.05465,0.277,0.00011,0.00407,0,0,0,0.0001,0.0675,USDCHF_28,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.895,,,1,03-Dec-11,03-Dec-11,0.0442,-0.4408,1.8656,0.00071,0.01279,0,0,0,0.0009,0.0875,USDCHF_29,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.899,,,1,03-Dec-11,03-Dec-11,0.04875,-2.4277,8.2531,0.00316,0.03195,0,0,0,0.005,0.0925,USDCHF_30,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.903,,,1,03-Dec-11,03-Dec-11,0.075,-9.1756,23.58,0.00903,0.06078,0,0,0,0.0175,0.1325,USDCHF_31,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.907,,,1,03-Dec-11,03-Dec-11,0.11625,-23.92,41.72,0.01598,0.08248,0,0,0,0.035,0.1975,USDCHF_32,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.911,,,1,03-Dec-11,03-Dec-11,0.24625,-43.2,39.86,0.01526,0.06873,0,0,0,0.1425,0.35,USDCHF_33,0
